#t 	Susceptible 	Infected 	Recovered
0 	38005614	0	0
0.01	37929671	0	75943
0.02	37853880	0	151734
0.03	37778240	0	227374
0.04	37702752	0	302862
0.05	37627414	0	378200
0.06	37552227	0	453387
0.07	37477189	1	528424
0.08	37402297	4	603313
0.09	37327533	19	678061
0.1	37252810	100	752704
0.11	37177696	499	827419
0.12	37100154	2421	903040
0.13	37010801	11389	983424
0.14	36868238	51651	1085725
0.15	36501749	222163	1281702
0.16	35276747	881907	1846960
0.17	31357971	2960374	3687269
0.18	22850875	6610156	8544583
0.19	13787342	7989757	16228515
0.2	8600727	5991095	23413792
0.21	6284463	3551880	28169271
0.22	5264632	1901348	30839634
0.23	4795188	972478	32237948
0.24	4569572	486899	32949142
0.25	4456772	241256	33307585
0.26	4397615	118909	33489090
0.27	4364346	58440	33582828
0.28	4343667	28673	33633274
0.29	4329136	14053	33662426
0.3	4317616	6882	33681117
0.31	4307575	3368	33694671
0.32	4298267	1647	33705700
0.33	4289325	805	33715484
0.34	4280570	393	33724651
0.35000000000000003	4271915	192	33733507
0.36	4263318	94	33742203
0.37	4254757	46	33750811
0.38	4246224	22	33759368
0.39	4237712	11	33767892
0.4	4229219	5	33776390
0.41000000000000003	4220744	3	33784867
0.42	4212287	1	33793326
0.43	4203847	1	33801767
0.44	4195423	0	33810190
0.45	4187017	0	33818597
0.46	4178628	0	33826986
0.47000000000000003	4170255	0	33835359
0.48	4161899	0	33843715
0.49	4153560	0	33852054
0.5	4145237	0	33860377
0.51	4136932	0	33868682
0.52	4128642	0	33876972
0.53	4120370	0	33885244
0.54	4112114	0	33893500
0.55	4103874	0	33901740
0.56	4095651	0	33909963
0.5700000000000001	4087444	0	33918170
0.58	4079254	0	33926360
0.59	4071080	0	33934534
0.6	4062923	0	33942691
0.61	4054782	0	33950832
0.62	4046657	0	33958957
0.63	4038548	0	33967066
0.64	4030456	0	33975158
0.65	4022380	0	33983234
0.66	4014320	0	33991294
0.67	4006276	0	33999338
0.68	3998249	0	34007366
0.6900000000000001	3990237	0	34015377
0.7000000000000001	3982241	0	34023373
0.71	3974262	0	34031352
0.72	3966299	0	34039315
0.73	3958351	0	34047263
0.74	3950419	0	34055195
0.75	3942504	0	34063110
0.76	3934604	0	34071010
0.77	3926720	0	34078894
0.78	3918852	0	34086762
0.79	3910999	0	34094615
0.8	3903163	0	34102451
0.81	3895342	0	34110272
0.8200000000000001	3887537	0	34118077
0.8300000000000001	3879747	0	34125867
0.84	3871973	0	34133641
0.85	3864215	0	34141399
0.86	3856472	0	34149142
0.87	3848745	0	34156869
0.88	3841033	0	34164581
0.89	3833337	0	34172277
0.9	3825656	0	34179958
0.91	3817990	0	34187624
0.92	3810340	0	34195274
0.93	3802706	0	34202908
0.9400000000000001	3795086	0	34210528
0.9500000000000001	3787482	0	34218132
0.96	3779893	0	34225721
0.97	3772320	0	34233294
0.98	3764761	0	34240853
0.99	3757218	0	34248396
1.0	3749690	0	34255924
1.01	3742177	0	34263437
1.02	3734679	0	34270935
1.03	3727196	0	34278418
1.04	3719728	0	34285886
1.05	3712275	0	34293339
1.06	3704837	0	34300777
1.07	3697414	0	34308200
1.08	3690006	0	34315608
1.09	3682613	0	34323001
1.1	3675235	0	34330379
1.11	3667871	0	34337743
1.12	3660522	0	34345092
1.1300000000000001	3653188	0	34352426
1.1400000000000001	3645869	0	34359745
1.1500000000000001	3638564	0	34367050
1.16	3631274	0	34374340
1.17	3623999	0	34381615
1.18	3616738	0	34388876
1.19	3609492	0	34396122
1.2	3602260	0	34403354
1.21	3595043	0	34410571
1.22	3587841	0	34417773
1.23	3580653	0	34424961
1.24	3573479	0	34432135
1.25	3566320	0	34439295
1.26	3559175	0	34446439
1.27	3552044	0	34453570
1.28	3544928	0	34460686
1.29	3537826	0	34467788
1.3	3530738	0	34474876
1.31	3523664	0	34481950
1.32	3516605	0	34489009
1.33	3509560	0	34496054
1.34	3502529	0	34503085
1.35	3495512	0	34510102
1.36	3488509	0	34517105
1.37	3481520	0	34524094
1.3800000000000001	3474546	0	34531068
1.3900000000000001	3467585	0	34538029
1.4000000000000001	3460638	0	34544976
1.41	3453705	0	34551909
1.42	3446787	0	34558827
1.43	3439882	0	34565732
1.44	3432991	0	34572624
1.45	3426113	0	34579501
1.46	3419250	0	34586364
1.47	3412400	0	34593214
1.48	3405564	0	34600050
1.49	3398742	0	34606872
1.5	3391933	0	34613681
