#t 	Susceptible 	Infected 	Recovered
0 	19861408	0	0
0.01	19821721	0	39687
0.02	19782113	0	79295
0.03	19742584	0	118824
0.04	19703135	0	158273
0.05	19663764	0	197644
0.06	19624472	0	236936
0.07	19585258	0	276150
0.08	19546121	1	315286
0.09	19507054	7	354347
0.1	19468025	37	393346
0.11	19428876	184	432349
0.12	19388858	889	471661
0.13	19344539	4175	512694
0.14	19280808	18893	561707
0.15	19135072	81420	644916
0.16	18668580	328184	864644
0.17	17119756	1164149	1577504
0.18	13262042	2968232	3631134
0.19	8259070	4205433	7396905
0.2	5008964	3476370	11376073
0.21	3508600	2153459	14199349
0.22	2852155	1175302	15833951
0.23	2553528	606587	16701293
0.24	2411454	305078	17144877
0.25	2341138	151531	17368738
0.26	2304764	74793	17481851
0.27	2284728	36794	17539887
0.28	2272627	18065	17570716
0.29	2264399	8859	17588150
0.3	2258068	4341	17598999
0.31	2252668	2125	17606615
0.32	2247727	1040	17612641
0.33	2243016	509	17617883
0.34	2238422	249	17622738
0.35000000000000003	2233888	121	17627398
0.36	2229389	59	17631959
0.37	2224912	29	17636467
0.38	2220450	14	17640944
0.39	2215999	7	17645402
0.4	2211559	3	17649846
0.41000000000000003	2207128	2	17654278
0.42	2202707	1	17658701
0.43	2198294	0	17663113
0.44	2193891	0	17667517
0.45	2189496	0	17671912
0.46	2185110	0	17676298
0.47000000000000003	2180733	0	17680675
0.48	2176364	0	17685044
0.49	2172004	0	17689404
0.5	2167653	0	17693755
0.51	2163311	0	17698097
0.52	2158977	0	17702431
0.53	2154652	0	17706756
0.54	2150336	0	17711072
0.55	2146028	0	17715380
0.56	2141729	0	17719679
0.5700000000000001	2137439	0	17723969
0.58	2133157	0	17728251
0.59	2128884	0	17732524
0.6	2124619	0	17736789
0.61	2120363	0	17741045
0.62	2116115	0	17745293
0.63	2111876	0	17749532
0.64	2107646	0	17753762
0.65	2103424	0	17757984
0.66	2099210	0	17762198
0.67	2095005	0	17766403
0.68	2090808	0	17770600
0.6900000000000001	2086619	0	17774789
0.7000000000000001	2082439	0	17778969
0.71	2078268	0	17783140
0.72	2074105	0	17787303
0.73	2069950	0	17791458
0.74	2065803	0	17795605
0.75	2061665	0	17799743
0.76	2057535	0	17803873
0.77	2053413	0	17807995
0.78	2049300	0	17812108
0.79	2045195	0	17816213
0.8	2041098	0	17820310
0.81	2037009	0	17824399
0.8200000000000001	2032929	0	17828479
0.8300000000000001	2028856	0	17832552
0.84	2024792	0	17836616
0.85	2020736	0	17840672
0.86	2016688	0	17844720
0.87	2012649	0	17848759
0.88	2008617	0	17852791
0.89	2004594	0	17856814
0.9	2000578	0	17860830
0.91	1996571	0	17864837
0.92	1992571	0	17868837
0.93	1988580	0	17872828
0.9400000000000001	1984597	0	17876811
0.9500000000000001	1980621	0	17880787
0.96	1976654	0	17884754
0.97	1972695	0	17888713
0.98	1968743	0	17892665
0.99	1964800	0	17896608
1.0	1960864	0	17900544
1.01	1956937	0	17904471
1.02	1953017	0	17908391
1.03	1949105	0	17912303
1.04	1945201	0	17916207
1.05	1941304	0	17920104
1.06	1937416	0	17923992
1.07	1933535	0	17927873
1.08	1929663	0	17931745
1.09	1925798	0	17935610
1.1	1921940	0	17939468
1.11	1918091	0	17943317
1.12	1914249	0	17947159
1.1300000000000001	1910415	0	17950993
1.1400000000000001	1906588	0	17954820
1.1500000000000001	1902770	0	17958638
1.16	1898958	0	17962450
1.17	1895155	0	17966253
1.18	1891359	0	17970049
1.19	1887571	0	17973837
1.2	1883790	0	17977618
1.21	1880017	0	17981391
1.22	1876252	0	17985156
1.23	1872494	0	17988914
1.24	1868744	0	17992664
1.25	1865001	0	17996407
1.26	1861266	0	18000142
1.27	1857538	0	18003870
1.28	1853818	0	18007590
1.29	1850105	0	18011303
1.3	1846399	0	18015009
1.31	1842702	0	18018706
1.32	1839011	0	18022397
1.33	1835328	0	18026080
1.34	1831652	0	18029756
1.35	1827984	0	18033424
1.36	1824323	0	18037085
1.37	1820669	0	18040739
1.3800000000000001	1817023	0	18044385
1.3900000000000001	1813384	0	18048024
1.4000000000000001	1809752	0	18051656
1.41	1806128	0	18055280
1.42	1802511	0	18058897
1.43	1798901	0	18062507
1.44	1795298	0	18066110
1.45	1791703	0	18069705
1.46	1788115	0	18073293
1.47	1784534	0	18076874
1.48	1780960	0	18080448
1.49	1777393	0	18084015
1.5	1773834	0	18087574
1.51	1770281	0	18091127
1.52	1766736	0	18094672
1.53	1763198	0	18098210
1.54	1759667	0	18101741
1.55	1756143	0	18105265
1.56	1752627	0	18108781
1.57	1749117	0	18112291
1.58	1745614	0	18115794
1.59	1742118	0	18119290
1.6	1738630	0	18122778
1.61	1735148	0	18126260
1.62	1731673	0	18129735
1.6300000000000001	1728206	0	18133202
1.6400000000000001	1724745	0	18136663
1.6500000000000001	1721291	0	18140117
1.6600000000000001	1717844	0	18143564
1.67	1714404	0	18147004
1.68	1710971	0	18150437
1.69	1707545	0	18153863
1.7	1704126	0	18157282
1.71	1700713	0	18160695
1.72	1697308	0	18164100
1.73	1693909	0	18167499
1.74	1690517	0	18170891
1.75	1687132	0	18174276
1.76	1683753	0	18177655
1.77	1680382	0	18181026
1.78	1677017	0	18184391
1.79	1673659	0	18187749
1.8	1670308	0	18191100
1.81	1666963	0	18194445
1.82	1663625	0	18197783
1.83	1660294	0	18201114
1.84	1656970	0	18204438
1.85	1653652	0	18207756
1.86	1650341	0	18211067
1.87	1647036	0	18214372
1.8800000000000001	1643738	0	18217670
1.8900000000000001	1640447	0	18220961
1.9000000000000001	1637162	0	18224246
1.9100000000000001	1633884	0	18227524
1.92	1630613	0	18230795
1.93	1627348	0	18234060
1.94	1624089	0	18237319
1.95	1620837	0	18240571
1.96	1617592	0	18243816
1.97	1614353	0	18247055
1.98	1611121	0	18250287
1.99	1607895	0	18253513
2.0	1604676	0	18256732
2.0100000000000002	1601463	0	18259945
2.02	1598256	0	18263152
2.0300000000000002	1595056	0	18266352
2.04	1591863	0	18269545
2.05	1588675	0	18272733
2.06	1585494	0	18275914
2.07	1582320	0	18279088
2.08	1579152	0	18282256
2.09	1575990	0	18285418
2.1	1572835	0	18288573
2.11	1569686	0	18291722
2.12	1566543	0	18294865
2.13	1563407	0	18298001
