#t 	Susceptible 	Infected 	Recovered
0 	2062874	0	0
0.01	2058752	0	4122
0.02	2054638	0	8236
0.03	2050533	0	12341
0.04	2046435	0	16439
0.05	2042346	0	20528
0.06	2038263	1	24610
0.07	2034181	7	28686
0.08	2030074	32	32768
0.09	2025819	150	36906
0.1	2020870	681	41323
0.11	2012955	2959	46961
0.12	1992958	12309	57607
0.13	1926293	48513	88069
0.14	1710302	164016	188556
0.15	1238366	367494	457014
0.16	740316	441158	881400
0.17	459840	327864	1275170
0.18	335979	193227	1533667
0.19	281717	103103	1678054
0.2	256782	52650	1753442
0.21	244807	26341	1791726
0.22	238825	13047	1811002
0.23	235691	6430	1820753
0.24	233931	3160	1825782
0.25	232841	1551	1828483
0.26	232076	760	1830038
0.27	231472	372	1831030
0.28	230946	182	1831746
0.29	230458	89	1832326
0.3	229991	44	1832840
0.31	229533	21	1833320
0.32	229080	10	1833784
0.33	228630	5	1834239
0.34	228183	2	1834689
0.35000000000000003	227736	1	1835137
0.36	227291	1	1835583
0.37	226846	0	1836027
0.38	226403	0	1836471
0.39	225960	0	1836914
0.4	225518	0	1837356
0.41000000000000003	225077	0	1837797
0.42	224637	0	1838237
0.43	224198	0	1838676
0.44	223759	0	1839115
0.45	223321	0	1839553
0.46	222885	0	1839989
0.47000000000000003	222449	0	1840425
0.48	222013	0	1840861
0.49	221579	0	1841295
0.5	221145	0	1841729
0.51	220712	0	1842162
0.52	220280	0	1842594
0.53	219849	0	1843025
0.54	219419	0	1843455
0.55	218989	0	1843885
0.56	218560	0	1844314
0.5700000000000001	218132	0	1844742
0.58	217705	0	1845169
0.59	217279	0	1845595
0.6	216853	0	1846021
0.61	216429	0	1846445
0.62	216005	0	1846869
0.63	215582	0	1847292
0.64	215159	0	1847715
0.65	214738	0	1848136
0.66	214317	0	1848557
0.67	213897	0	1848977
0.68	213478	0	1849396
0.6900000000000001	213059	0	1849815
0.7000000000000001	212642	0	1850232
0.71	212225	0	1850649
0.72	211809	0	1851065
0.73	211394	0	1851480
0.74	210979	0	1851895
0.75	210566	0	1852308
0.76	210153	0	1852721
0.77	209741	0	1853133
0.78	209329	0	1853545
0.79	208919	0	1853955
0.8	208509	0	1854365
0.81	208100	0	1854774
0.8200000000000001	207692	0	1855182
0.8300000000000001	207285	0	1855589
0.84	206878	0	1855996
0.85	206472	0	1856402
0.86	206067	0	1856807
0.87	205663	0	1857211
0.88	205259	0	1857615
0.89	204856	0	1858018
0.9	204454	0	1858420
0.91	204053	0	1858821
0.92	203652	0	1859222
0.93	203253	0	1859621
0.9400000000000001	202854	0	1860020
0.9500000000000001	202456	0	1860418
0.96	202058	0	1860816
0.97	201661	0	1861213
0.98	201265	0	1861609
0.99	200870	0	1862004
1.0	200476	0	1862398
1.01	200082	0	1862792
1.02	199689	0	1863185
1.03	199297	0	1863577
1.04	198905	0	1863969
1.05	198515	0	1864359
1.06	198125	0	1864749
1.07	197736	0	1865138
1.08	197347	0	1865527
1.09	196959	0	1865915
1.1	196572	0	1866302
1.11	196186	0	1866688
1.12	195801	0	1867073
1.1300000000000001	195416	0	1867458
1.1400000000000001	195032	0	1867842
1.1500000000000001	194649	0	1868225
1.16	194266	0	1868608
1.17	193884	0	1868990
1.18	193503	0	1869371
1.19	193123	0	1869751
1.2	192743	0	1870131
1.21	192364	0	1870510
1.22	191986	0	1870888
1.23	191608	0	1871266
1.24	191232	0	1871642
1.25	190856	0	1872018
1.26	190480	0	1872394
1.27	190106	0	1872768
1.28	189732	0	1873142
1.29	189359	0	1873515
1.3	188986	0	1873888
1.31	188614	0	1874260
1.32	188243	0	1874631
1.33	187873	0	1875001
1.34	187503	0	1875371
1.35	187135	0	1875739
1.36	186766	0	1876108
1.37	186399	0	1876475
1.3800000000000001	186032	0	1876842
1.3900000000000001	185666	0	1877208
1.4000000000000001	185301	0	1877573
1.41	184936	0	1877938
1.42	184572	0	1878302
1.43	184209	0	1878665
1.44	183846	0	1879028
1.45	183484	0	1879390
1.46	183123	0	1879751
1.47	182763	0	1880111
1.48	182403	0	1880471
1.49	182044	0	1880830
1.5	181685	0	1881189
1.51	181328	0	1881546
1.52	180971	0	1881903
1.53	180614	0	1882260
1.54	180259	0	1882615
1.55	179904	0	1882970
1.56	179549	0	1883325
1.57	179196	0	1883678
1.58	178843	0	1884031
1.59	178491	0	1884383
1.6	178139	0	1884735
1.61	177788	0	1885086
1.62	177438	0	1885436
1.6300000000000001	177088	0	1885786
1.6400000000000001	176739	0	1886135
1.6500000000000001	176391	0	1886483
1.6600000000000001	176044	0	1886830
1.67	175697	0	1887177
1.68	175351	0	1887523
1.69	175005	0	1887869
1.7	174660	0	1888214
1.71	174316	0	1888558
1.72	173972	0	1888902
1.73	173630	0	1889244
1.74	173287	0	1889587
1.75	172946	0	1889928
1.76	172605	0	1890269
1.77	172265	0	1890609
1.78	171925	0	1890949
1.79	171586	0	1891288
1.8	171248	0	1891626
1.81	170910	0	1891964
1.82	170573	0	1892301
1.83	170237	0	1892637
1.84	169901	0	1892973
1.85	169566	0	1893308
1.86	169232	0	1893642
1.87	168898	0	1893976
1.8800000000000001	168565	0	1894309
1.8900000000000001	168233	0	1894641
1.9000000000000001	167901	0	1894973
1.9100000000000001	167570	0	1895304
1.92	167239	0	1895635
1.93	166910	0	1895964
1.94	166580	0	1896294
1.95	166252	0	1896622
1.96	165924	0	1896950
1.97	165596	0	1897278
1.98	165270	0	1897604
1.99	164944	0	1897930
2.0	164618	0	1898256
2.0100000000000002	164293	0	1898581
2.02	163969	0	1898905
2.0300000000000002	163646	0	1899228
2.04	163323	0	1899551
2.05	163001	0	1899873
2.06	162679	0	1900195
2.07	162358	0	1900516
2.08	162037	0	1900837
2.09	161718	0	1901156
2.1	161398	0	1901476
2.11	161080	0	1901794
2.12	160762	0	1902112
2.13	160445	0	1902429
2.14	160128	0	1902746
2.15	159812	0	1903062
2.16	159496	0	1903378
2.17	159181	0	1903693
2.18	158867	0	1904007
2.19	158553	0	1904321
2.2	158240	0	1904634
2.21	157928	0	1904946
2.22	157616	0	1905258
2.23	157305	0	1905569
2.24	156994	0	1905880
2.25	156684	0	1906190
2.2600000000000002	156375	0	1906499
2.27	156066	0	1906808
2.2800000000000002	155758	0	1907116
2.29	155450	0	1907424
2.3000000000000003	155143	0	1907731
2.31	154837	0	1908037
2.32	154531	0	1908343
2.33	154226	0	1908648
2.34	153921	0	1908953
2.35	153617	0	1909257
2.36	153313	0	1909561
2.37	153010	0	1909864
2.38	152708	0	1910166
2.39	152406	0	1910468
2.4	152105	0	1910769
2.41	151805	0	1911069
2.42	151505	0	1911369
2.43	151205	0	1911669
2.44	150907	0	1911967
2.45	150608	0	1912266
2.46	150311	0	1912563
2.47	150014	0	1912860
2.48	149717	0	1913157
2.49	149421	0	1913453
2.5	149126	0	1913748
2.5100000000000002	148831	0	1914043
2.52	148537	0	1914337
2.5300000000000002	148244	0	1914630
2.54	147951	0	1914923
2.5500000000000003	147658	0	1915216
2.56	147366	0	1915508
2.57	147075	0	1915799
2.58	146784	0	1916090
2.59	146494	0	1916380
2.6	146204	0	1916670
2.61	145915	0	1916959
2.62	145627	0	1917247
2.63	145339	0	1917535
2.64	145051	0	1917823
2.65	144765	0	1918109
2.66	144478	0	1918396
2.67	144193	0	1918681
2.68	143908	0	1918966
2.69	143623	0	1919251
2.7	143339	0	1919535
2.71	143055	0	1919819
2.72	142772	0	1920102
2.73	142490	0	1920384
2.74	142208	0	1920666
2.75	141927	0	1920947
2.7600000000000002	141646	0	1921228
2.77	141366	0	1921508
2.7800000000000002	141086	0	1921788
2.79	140807	0	1922067
2.8000000000000003	140529	0	1922345
2.81	140251	0	1922623
2.82	139973	0	1922901
2.83	139696	0	1923178
2.84	139420	0	1923454
2.85	139144	0	1923730
2.86	138869	0	1924005
2.87	138594	0	1924280
2.88	138320	0	1924554
2.89	138046	0	1924828
2.9	137773	0	1925101
2.91	137500	0	1925374
2.92	137228	0	1925646
2.93	136957	0	1925917
2.94	136686	0	1926188
2.95	136415	0	1926459
2.96	136145	0	1926729
2.97	135876	0	1926998
2.98	135607	0	1927267
2.99	135338	0	1927536
3.0	135070	0	1927804
3.0100000000000002	134803	0	1928071
3.02	134536	0	1928338
3.0300000000000002	134270	0	1928604
3.04	134004	0	1928870
3.0500000000000003	133739	0	1929135
3.06	133474	0	1929400
3.0700000000000003	133210	0	1929664
3.08	132946	0	1929928
3.09	132683	0	1930191
3.1	132420	0	1930454
3.11	132158	0	1930716
3.12	131896	0	1930978
3.13	131635	0	1931239
3.14	131375	0	1931499
3.15	131114	0	1931760
3.16	130855	0	1932019
3.17	130596	0	1932278
3.18	130337	0	1932537
3.19	130079	0	1932795
3.2	129821	0	1933053
3.21	129564	0	1933310
3.22	129308	0	1933566
3.23	129052	0	1933822
3.24	128796	0	1934078
3.25	128541	0	1934333
3.2600000000000002	128286	0	1934588
3.27	128032	0	1934842
3.2800000000000002	127778	0	1935096
3.29	127525	0	1935349
3.3000000000000003	127273	0	1935601
3.31	127021	0	1935853
3.3200000000000003	126769	0	1936105
3.33	126518	0	1936356
3.34	126267	0	1936607
3.35	126017	0	1936857
3.36	125767	0	1937107
3.37	125518	0	1937356
3.38	125270	0	1937604
3.39	125021	0	1937853
3.4	124774	0	1938100
3.41	124526	0	1938348
3.42	124280	0	1938594
3.43	124033	0	1938841
3.44	123788	0	1939086
3.45	123542	0	1939332
3.46	123297	0	1939577
3.47	123053	0	1939821
3.48	122809	0	1940065
3.49	122566	0	1940308
3.5	122323	0	1940551
3.5100000000000002	122081	0	1940793
3.52	121839	0	1941035
3.5300000000000002	121597	0	1941277
3.54	121356	0	1941518
3.5500000000000003	121116	0	1941758
3.56	120876	0	1941999
3.5700000000000003	120636	0	1942238
3.58	120397	0	1942477
3.59	120158	0	1942716
3.6	119920	0	1942954
3.61	119682	0	1943192
3.62	119445	0	1943429
3.63	119208	0	1943666
3.64	118972	0	1943902
3.65	118736	0	1944138
3.66	118501	0	1944373
3.67	118266	0	1944608
3.68	118031	0	1944843
3.69	117797	0	1945077
3.7	117564	0	1945310
3.71	117330	0	1945544
3.72	117098	0	1945776
3.73	116866	0	1946008
3.74	116634	0	1946240
3.75	116403	0	1946471
3.7600000000000002	116172	0	1946702
3.77	115941	0	1946933
3.7800000000000002	115711	0	1947163
3.79	115482	0	1947392
3.8000000000000003	115253	0	1947621
3.81	115024	0	1947850
3.8200000000000003	114796	0	1948078
3.83	114569	0	1948305
3.84	114341	0	1948533
3.85	114115	0	1948759
3.86	113888	0	1948986
3.87	113662	0	1949212
3.88	113437	0	1949437
3.89	113212	0	1949662
3.9	112987	0	1949887
3.91	112763	0	1950111
