#t 	Susceptible 	Infected 	Recovered
0 	9849000	0	0
0.01	9829320	0	19680
0.02	9809679	0	39321
0.03	9790077	0	58923
0.04	9770515	0	78485
0.05	9750991	0	98009
0.06	9731507	0	117493
0.07	9712061	0	136939
0.08	9692652	1	156346
0.09	9673276	7	175718
0.1	9653901	34	195066
0.11	9634383	168	214449
0.12	9614035	816	234149
0.13	9589704	3832	255463
0.14	9547508	17346	284146
0.15	9430478	74317	344205
0.16	9031631	290689	526680
0.17	7806918	927657	1114425
0.18	5437928	1861266	2549806
0.19	3241478	2017801	4589722
0.2	2075113	1424996	6348892
0.21	1561547	822745	7464708
0.22	1333915	435241	8079845
0.23	1228255	221360	8399385
0.24	1177110	110511	8561378
0.25	1151343	54670	8642988
0.26	1137680	26918	8684401
0.27	1129869	13220	8705911
0.28	1124905	6483	8717612
0.29	1121332	3176	8724493
0.3	1118440	1554	8729006
0.31	1115883	760	8732357
0.32	1113492	372	8735136
0.33	1111184	182	8737634
0.34	1108919	89	8739992
0.35000000000000003	1106677	43	8742279
0.36	1104449	21	8744530
0.37	1102230	10	8746760
0.38	1100017	5	8748978
0.39	1097810	2	8751188
0.4	1095607	1	8753392
0.41000000000000003	1093409	1	8755590
0.42	1091216	0	8757784
0.43	1089027	0	8759973
0.44	1086843	0	8762157
0.45	1084663	0	8764337
0.46	1082487	0	8766513
0.47000000000000003	1080315	0	8768685
0.48	1078148	0	8770852
0.49	1075986	0	8773014
0.5	1073827	0	8775173
0.51	1071673	0	8777327
0.52	1069524	0	8779476
0.53	1067378	0	8781622
0.54	1065237	0	8783763
0.55	1063100	0	8785900
0.56	1060968	0	8788032
0.5700000000000001	1058839	0	8790161
0.58	1056715	0	8792285
0.59	1054596	0	8794404
0.6	1052480	0	8796520
0.61	1050369	0	8798631
0.62	1048262	0	8800738
0.63	1046160	0	8802840
0.64	1044061	0	8804939
0.65	1041967	0	8807033
0.66	1039877	0	8809123
0.67	1037791	0	8811209
0.68	1035709	0	8813291
0.6900000000000001	1033632	0	8815368
0.7000000000000001	1031559	0	8817441
0.71	1029490	0	8819510
