#t 	Susceptible 	Infected 	Recovered
0 	10812467	0	0
0.01	10790862	0	21605
0.02	10769299	0	43168
0.03	10747780	0	64687
0.04	10726303	1	86164
0.05	10704865	3	107599
0.06	10683450	18	128999
0.07	10661985	88	150394
0.08	10640119	421	171927
0.09	10616242	1971	194254
0.1	10583266	8911	220290
0.11	10512072	38250	262145
0.12	10290468	154820	367178
0.13	9543103	563060	706304
0.14	7572311	1519435	1720721
0.15	4798523	2311946	3701998
0.16	2897483	2007992	5906992
0.17	2010573	1283195	7518698
0.18	1622573	721532	8468362
0.19	1442654	386142	8983671
0.2	1353803	202407	9256257
0.21	1307995	104923	9399549
0.22	1283452	54009	9475006
0.23	1269621	27666	9515180
0.24	1261229	14121	9537116
0.25	1255611	7187	9549669
0.26	1251407	3649	9557411
0.27	1247927	1848	9562691
0.28	1244819	935	9566713
0.29	1241903	472	9570092
0.3	1239089	238	9573140
0.31	1236331	120	9576017
0.32	1233604	60	9578803
0.33	1230898	30	9581539
0.34	1228206	15	9584246
0.35000000000000003	1225526	8	9586934
0.36	1222856	4	9589608
0.37	1220194	2	9592271
0.38	1217542	1	9594924
0.39	1214898	0	9597569
0.4	1212262	0	9600204
0.41000000000000003	1209635	0	9602832
0.42	1207016	0	9605451
0.43	1204406	0	9608061
0.44	1201803	0	9610664
0.45	1199209	0	9613258
0.46	1196623	0	9615844
0.47000000000000003	1194044	0	9618423
0.48	1191474	0	9620993
0.49	1188912	0	9623555
0.5	1186358	0	9626109
0.51	1183811	0	9628656
0.52	1181273	0	9631194
0.53	1178742	0	9633725
0.54	1176219	0	9636248
0.55	1173704	0	9638763
0.56	1171197	0	9641270
0.5700000000000001	1168697	0	9643770
0.58	1166204	0	9646263
0.59	1163720	0	9648747
0.6	1161242	0	9651225
0.61	1158772	0	9653695
0.62	1156310	0	9656157
0.63	1153855	0	9658612
0.64	1151407	0	9661060
0.65	1148967	0	9663500
0.66	1146533	0	9665934
0.67	1144107	0	9668360
0.68	1141688	0	9670779
0.6900000000000001	1139276	0	9673191
0.7000000000000001	1136871	0	9675596
0.71	1134473	0	9677994
0.72	1132082	0	9680385
0.73	1129698	0	9682769
0.74	1127321	0	9685146
0.75	1124950	0	9687517
0.76	1122586	0	9689881
0.77	1120229	0	9692238
0.78	1117879	0	9694588
0.79	1115535	0	9696932
0.8	1113198	0	9699269
0.81	1110868	0	9701599
0.8200000000000001	1108544	0	9703923
0.8300000000000001	1106226	0	9706241
0.84	1103915	0	9708552
0.85	1101610	0	9710857
0.86	1099311	0	9713156
0.87	1097019	0	9715448
0.88	1094733	0	9717734
0.89	1092453	0	9720014
0.9	1090180	0	9722287
0.91	1087912	0	9724555
0.92	1085651	0	9726816
0.93	1083396	0	9729071
0.9400000000000001	1081146	0	9731321
0.9500000000000001	1078903	0	9733564
0.96	1076666	0	9735801
0.97	1074434	0	9738033
0.98	1072209	0	9740258
0.99	1069989	0	9742478
1.0	1067775	0	9744692
1.01	1065567	0	9746900
1.02	1063365	0	9749102
1.03	1061168	0	9751299
1.04	1058977	0	9753490
1.05	1056792	0	9755675
1.06	1054612	0	9757855
1.07	1052438	0	9760029
1.08	1050269	0	9762198
1.09	1048106	0	9764361
1.1	1045948	0	9766519
1.11	1043796	0	9768671
1.12	1041649	0	9770818
1.1300000000000001	1039508	0	9772959
1.1400000000000001	1037372	0	9775095
1.1500000000000001	1035241	0	9777226
1.16	1033115	0	9779352
1.17	1030995	0	9781472
1.18	1028880	0	9783587
1.19	1026770	0	9785697
1.2	1024666	0	9787801
1.21	1022567	0	9789901
1.22	1020472	0	9791995
1.23	1018383	0	9794084
1.24	1016299	0	9796168
1.25	1014220	0	9798247
1.26	1012146	0	9800321
1.27	1010077	0	9802390
1.28	1008013	0	9804454
1.29	1005954	0	9806513
1.3	1003900	0	9808567
1.31	1001850	0	9810617
1.32	999806	0	9812661
1.33	997766	0	9814701
1.34	995732	0	9816735
1.35	993702	0	9818765
1.36	991677	0	9820790
1.37	989656	0	9822811
1.3800000000000001	987641	0	9824826
1.3900000000000001	985630	0	9826837
1.4000000000000001	983624	0	9828843
1.41	981622	0	9830845
1.42	979625	0	9832842
1.43	977633	0	9834834
1.44	975645	0	9836822
1.45	973662	0	9838805
1.46	971684	0	9840783
1.47	969710	0	9842757
1.48	967740	0	9844727
1.49	965776	0	9846691
1.5	963815	0	9848652
1.51	961859	0	9850608
1.52	959908	0	9852559
1.53	957961	0	9854506
1.54	956018	0	9856449
1.55	954080	0	9858387
1.56	952146	0	9860321
1.57	950217	0	9862250
1.58	948292	0	9864176
1.59	946371	0	9866096
1.6	944454	0	9868013
1.61	942542	0	9869925
1.62	940634	0	9871833
1.6300000000000001	938730	0	9873737
1.6400000000000001	936831	0	9875636
1.6500000000000001	934936	0	9877531
1.6600000000000001	933045	0	9879422
1.67	931158	0	9881309
1.68	929275	0	9883192
1.69	927397	0	9885070
1.7	925523	0	9886944
1.71	923653	0	9888814
1.72	921787	0	9890680
1.73	919925	0	9892542
1.74	918067	0	9894400
1.75	916213	0	9896254
1.76	914363	0	9898104
