#t 	Susceptible 	Infected 	Recovered
0 	429344	0	0
0.01	428486	0	858
0.02	427630	0	1714
0.03	426775	0	2569
0.04	425922	0	3421
0.05	425071	0	4273
0.06	424219	2	5123
0.07	423360	8	5975
0.08	422462	39	6842
0.09	421381	180	7783
0.1	419502	791	9052
0.11	414438	3255	11651
0.12	397927	12235	19182
0.13	348579	38215	42550
0.14	252156	78101	99087
0.15	158352	89871	181121
0.16	105948	68878	254518
0.17	81868	44054	303422
0.18	70152	26543	332649
0.19	63547	15736	350061
0.2	59517	9168	360660
0.21	57015	5214	367116
0.22	55432	2897	371015
0.23	54390	1579	373375
0.24	53659	848	374837
0.25	53108	449	375787
0.26	52661	236	376447
0.27	52277	123	376944
0.28	51934	63	377347
0.29	51617	32	377694
0.3	51321	17	378007
0.31	51041	8	378295
0.32	50774	4	378566
0.33	50519	2	378822
0.34	50276	1	379067
0.35000000000000003	50042	1	379301
0.36	49818	0	379526
0.37	49602	0	379742
0.38	49394	0	379950
0.39	49194	0	380150
0.4	49001	0	380343
0.41000000000000003	48814	0	380530
0.42	48633	0	380711
0.43	48459	0	380885
0.44	48289	0	381055
0.45	48125	0	381219
0.46	47965	0	381379
0.47000000000000003	47810	0	381534
0.48	47659	0	381685
0.49	47512	0	381832
0.5	47369	0	381975
0.51	47229	0	382115
0.52	47093	0	382251
0.53	46959	0	382385
0.54	46828	0	382516
0.55	46700	0	382644
0.56	46574	0	382770
0.5700000000000001	46451	0	382893
0.58	46330	0	383014
0.59	46211	0	383133
0.6	46094	0	383250
0.61	45979	0	383365
0.62	45865	0	383479
0.63	45754	0	383590
0.64	45643	0	383701
0.65	45535	0	383809
0.66	45427	0	383917
0.67	45321	0	384023
0.68	45216	0	384128
0.6900000000000001	45112	0	384232
0.7000000000000001	45009	0	384335
0.71	44908	0	384436
0.72	44807	0	384537
0.73	44707	0	384637
0.74	44608	0	384736
0.75	44510	0	384834
0.76	44413	0	384931
0.77	44316	0	385028
0.78	44220	0	385124
0.79	44125	0	385219
0.8	44031	0	385313
0.81	43937	0	385407
0.8200000000000001	43843	0	385501
0.8300000000000001	43750	0	385594
0.84	43658	0	385686
0.85	43566	0	385778
0.86	43475	0	385869
0.87	43384	0	385960
0.88	43294	0	386050
0.89	43204	0	386140
0.9	43114	0	386230
0.91	43025	0	386319
0.92	42936	0	386408
0.93	42848	0	386496
0.9400000000000001	42760	0	386584
0.9500000000000001	42672	0	386672
0.96	42584	0	386760
0.97	42497	0	386847
0.98	42410	0	386934
0.99	42324	0	387020
1.0	42238	0	387106
1.01	42152	0	387192
1.02	42066	0	387278
1.03	41981	0	387363
1.04	41895	0	387449
1.05	41811	0	387533
1.06	41726	0	387618
1.07	41642	0	387702
1.08	41557	0	387787
1.09	41473	0	387871
1.1	41390	0	387954
1.11	41306	0	388038
1.12	41223	0	388121
1.1300000000000001	41140	0	388204
1.1400000000000001	41057	0	388287
1.1500000000000001	40974	0	388370
1.16	40892	0	388452
1.17	40810	0	388534
1.18	40728	0	388616
1.19	40646	0	388698
1.2	40564	0	388780
1.21	40483	0	388861
1.22	40402	0	388942
1.23	40320	0	389024
1.24	40240	0	389104
1.25	40159	0	389185
1.26	40078	0	389266
1.27	39998	0	389346
1.28	39918	0	389426
1.29	39838	0	389506
1.3	39758	0	389586
1.31	39678	0	389666
1.32	39599	0	389745
1.33	39520	0	389824
1.34	39441	0	389903
1.35	39362	0	389982
1.36	39283	0	390061
1.37	39204	0	390140
1.3800000000000001	39126	0	390218
1.3900000000000001	39047	0	390297
1.4000000000000001	38969	0	390375
1.41	38891	0	390453
1.42	38814	0	390530
1.43	38736	0	390608
1.44	38658	0	390686
1.45	38581	0	390763
1.46	38504	0	390840
1.47	38427	0	390917
1.48	38350	0	390994
1.49	38273	0	391071
1.5	38197	0	391147
1.51	38121	0	391223
1.52	38044	0	391300
1.53	37968	0	391376
1.54	37892	0	391452
1.55	37817	0	391527
1.56	37741	0	391603
1.57	37666	0	391678
1.58	37590	0	391754
1.59	37515	0	391829
1.6	37440	0	391904
1.61	37365	0	391979
1.62	37291	0	392053
1.6300000000000001	37216	0	392128
1.6400000000000001	37142	0	392202
1.6500000000000001	37068	0	392276
1.6600000000000001	36993	0	392351
1.67	36920	0	392424
1.68	36846	0	392498
1.69	36772	0	392572
1.7	36699	0	392645
1.71	36625	0	392719
1.72	36552	0	392792
1.73	36479	0	392865
1.74	36406	0	392938
1.75	36333	0	393011
1.76	36261	0	393083
1.77	36188	0	393156
1.78	36116	0	393228
1.79	36044	0	393300
1.8	35972	0	393372
1.81	35900	0	393444
1.82	35828	0	393516
1.83	35757	0	393587
1.84	35685	0	393659
1.85	35614	0	393730
1.86	35543	0	393801
1.87	35472	0	393872
1.8800000000000001	35401	0	393943
1.8900000000000001	35330	0	394014
1.9000000000000001	35260	0	394084
1.9100000000000001	35189	0	394155
1.92	35119	0	394225
1.93	35049	0	394295
1.94	34979	0	394365
1.95	34909	0	394435
1.96	34839	0	394505
1.97	34769	0	394575
1.98	34700	0	394644
1.99	34631	0	394713
2.0	34561	0	394783
2.0100000000000002	34492	0	394852
2.02	34423	0	394921
2.0300000000000002	34355	0	394989
2.04	34286	0	395058
2.05	34218	0	395126
2.06	34149	0	395195
2.07	34081	0	395263
2.08	34013	0	395331
2.09	33945	0	395399
2.1	33877	0	395467
2.11	33809	0	395535
2.12	33742	0	395602
2.13	33674	0	395670
2.14	33607	0	395737
2.15	33540	0	395804
2.16	33473	0	395871
2.17	33406	0	395938
2.18	33339	0	396005
2.19	33273	0	396071
2.2	33206	0	396138
2.21	33140	0	396204
2.22	33074	0	396270
2.23	33008	0	396336
2.24	32942	0	396402
2.25	32876	0	396468
2.2600000000000002	32810	0	396534
2.27	32745	0	396599
2.2800000000000002	32679	0	396665
2.29	32614	0	396730
2.3000000000000003	32549	0	396795
2.31	32484	0	396860
2.32	32419	0	396925
2.33	32354	0	396990
2.34	32289	0	397055
2.35	32225	0	397119
2.36	32161	0	397183
2.37	32096	0	397248
2.38	32032	0	397312
2.39	31968	0	397376
2.4	31904	0	397440
2.41	31841	0	397503
2.42	31777	0	397567
2.43	31713	0	397631
2.44	31650	0	397694
2.45	31587	0	397757
2.46	31524	0	397820
2.47	31461	0	397883
2.48	31398	0	397946
2.49	31335	0	398009
2.5	31273	0	398071
2.5100000000000002	31210	0	398134
2.52	31148	0	398196
2.5300000000000002	31086	0	398258
2.54	31023	0	398321
2.5500000000000003	30961	0	398383
2.56	30900	0	398444
2.57	30838	0	398506
2.58	30776	0	398568
2.59	30715	0	398629
2.6	30653	0	398691
2.61	30592	0	398752
2.62	30531	0	398813
2.63	30470	0	398874
