#t 	Susceptible 	Infected 	Recovered
0 	4625885	0	0
0.01	4616642	0	9243
0.02	4607417	0	18468
0.03	4598210	0	27675
0.04	4589022	0	36863
0.05	4579852	0	46033
0.06	4570700	0	55184
0.07	4561566	1	64318
0.08	4552446	4	73435
0.09	4543319	22	82544
0.1	4534088	112	91685
0.11	4524272	559	101053
0.12	4511602	2702	111580
0.13	4485720	12628	127537
0.14	4402133	56103	167649
0.15	4101054	220234	304597
0.16	3269515	623994	732376
0.17	2065797	972235	1587853
0.18	1231644	844586	2549655
0.19	842902	530936	3252047
0.2	674941	289879	3661065
0.21	599621	148881	3877383
0.22	564219	74368	3987298
0.23	546876	36661	4042347
0.24	537985	17956	4069944
0.25	533125	8765	4083995
0.26	530205	4271	4091409
0.27	528225	2079	4095581
0.28	526703	1011	4098171
0.29	525403	491	4099990
0.3	524214	239	4101432
0.31	523079	116	4102690
0.32	521973	56	4103856
0.33	520882	27	4104976
0.34	519800	13	4106072
0.35000000000000003	518724	6	4107154
0.36	517653	3	4108229
0.37	516585	2	4109299
0.38	515520	1	4110364
0.39	514459	0	4111426
0.4	513401	0	4112484
0.41000000000000003	512345	0	4113540
0.42	511293	0	4114592
0.43	510243	0	4115642
0.44	509196	0	4116689
0.45	508152	0	4117733
0.46	507111	0	4118774
0.47000000000000003	506073	0	4119812
0.48	505037	0	4120848
0.49	504005	0	4121880
0.5	502974	0	4122911
0.51	501947	0	4123938
0.52	500922	0	4124963
0.53	499900	0	4125985
0.54	498881	0	4127004
0.55	497864	0	4128021
0.56	496849	0	4129036
0.5700000000000001	495838	0	4130047
0.58	494828	0	4131057
0.59	493822	0	4132063
0.6	492818	0	4133067
0.61	491816	0	4134069
0.62	490817	0	4135068
0.63	489820	0	4136065
0.64	488826	0	4137059
0.65	487834	0	4138051
0.66	486844	0	4139041
0.67	485857	0	4140028
0.68	484873	0	4141012
0.6900000000000001	483890	0	4141995
0.7000000000000001	482911	0	4142974
0.71	481933	0	4143952
0.72	480958	0	4144927
0.73	479985	0	4145900
0.74	479014	0	4146871
0.75	478046	0	4147839
0.76	477080	0	4148805
0.77	476116	0	4149769
0.78	475154	0	4150731
0.79	474195	0	4151690
0.8	473237	0	4152648
0.81	472283	0	4153602
0.8200000000000001	471330	0	4154555
0.8300000000000001	470379	0	4155506
0.84	469431	0	4156454
0.85	468485	0	4157400
0.86	467540	0	4158345
0.87	466598	0	4159287
0.88	465659	0	4160226
0.89	464721	0	4161164
0.9	463785	0	4162100
0.91	462852	0	4163033
0.92	461920	0	4163965
0.93	460991	0	4164894
0.9400000000000001	460064	0	4165821
0.9500000000000001	459138	0	4166747
0.96	458215	0	4167670
0.97	457294	0	4168591
0.98	456375	0	4169510
0.99	455458	0	4170427
1.0	454543	0	4171342
1.01	453630	0	4172255
1.02	452719	0	4173166
1.03	451810	0	4174075
1.04	450902	0	4174983
1.05	449997	0	4175888
1.06	449094	0	4176791
1.07	448193	0	4177692
1.08	447294	0	4178591
1.09	446396	0	4179489
1.1	445501	0	4180384
1.11	444607	0	4181278
1.12	443716	0	4182169
1.1300000000000001	442826	0	4183059
1.1400000000000001	441938	0	4183947
1.1500000000000001	441052	0	4184833
1.16	440168	0	4185717
1.17	439286	0	4186599
1.18	438406	0	4187479
1.19	437528	0	4188357
1.2	436651	0	4189234
1.21	435777	0	4190108
1.22	434904	0	4190981
1.23	434033	0	4191852
1.24	433164	0	4192721
1.25	432296	0	4193589
1.26	431431	0	4194454
1.27	430567	0	4195318
1.28	429705	0	4196180
1.29	428845	0	4197040
1.3	427987	0	4197898
1.31	427131	0	4198754
1.32	426276	0	4199609
1.33	425423	0	4200462
1.34	424572	0	4201313
1.35	423723	0	4202162
1.36	422875	0	4203010
1.37	422029	0	4203856
1.3800000000000001	421185	0	4204700
1.3900000000000001	420343	0	4205542
1.4000000000000001	419502	0	4206383
1.41	418664	0	4207221
1.42	417826	0	4208059
1.43	416991	0	4208894
1.44	416157	0	4209728
1.45	415326	0	4210559
1.46	414495	0	4211390
1.47	413667	0	4212218
1.48	412840	0	4213045
1.49	412015	0	4213870
1.5	411192	0	4214693
1.51	410370	0	4215515
1.52	409550	0	4216335
1.53	408731	0	4217154
1.54	407915	0	4217970
1.55	407100	0	4218785
1.56	406286	0	4219599
1.57	405475	0	4220410
1.58	404665	0	4221220
1.59	403856	0	4222029
1.6	403050	0	4222835
1.61	402245	0	4223640
1.62	401441	0	4224444
1.6300000000000001	400639	0	4225246
1.6400000000000001	399839	0	4226046
1.6500000000000001	399041	0	4226844
1.6600000000000001	398244	0	4227641
1.67	397448	0	4228437
1.68	396655	0	4229230
1.69	395863	0	4230022
1.7	395072	0	4230813
1.71	394283	0	4231602
1.72	393496	0	4232389
1.73	392710	0	4233175
1.74	391926	0	4233959
1.75	391144	0	4234741
1.76	390363	0	4235522
1.77	389584	0	4236301
1.78	388806	0	4237079
1.79	388030	0	4237855
1.8	387255	0	4238630
1.81	386482	0	4239403
1.82	385711	0	4240174
1.83	384941	0	4240944
1.84	384172	0	4241713
1.85	383405	0	4242480
1.86	382640	0	4243245
1.87	381876	0	4244009
1.8800000000000001	381114	0	4244771
1.8900000000000001	380354	0	4245531
1.9000000000000001	379594	0	4246291
1.9100000000000001	378837	0	4247048
1.92	378081	0	4247804
1.93	377326	0	4248559
1.94	376573	0	4249312
1.95	375822	0	4250063
1.96	375072	0	4250813
1.97	374323	0	4251562
1.98	373576	0	4252309
