#t 	Susceptible 	Infected 	Recovered
0 	5659715	0	0
0.01	5648406	0	11309
0.02	5637119	0	22596
0.03	5625855	0	33860
0.04	5614613	0	45102
0.05	5603391	2	56322
0.06	5592183	9	67523
0.07	5580951	43	78721
0.08	5569525	206	89984
0.09	5557120	962	101633
0.1	5540298	4335	115082
0.11	5505007	18533	136175
0.12	5397248	74800	187667
0.13	5034579	273193	351943
0.14	4056305	755001	848409
0.15	2610992	1197711	1851013
0.16	1576124	1076428	3007163
0.17	1083544	702055	3874116
0.18	866249	400139	4393327
0.19	764844	216264	4678608
0.2	714530	114154	4831031
0.21	688503	59466	4911746
0.22	674521	30719	4954475
0.23	666627	15777	4977311
0.24	661836	8069	4989810
0.25	658632	4112	4996970
0.26	656243	2090	5001382
0.27	654272	1060	5004384
0.28	652518	536	5006661
0.29	650879	271	5008565
0.3	649303	136	5010276
0.31	647762	69	5011885
0.32	646243	34	5013438
0.33	644739	17	5014959
0.34	643247	9	5016460
0.35000000000000003	641764	4	5017946
0.36	640291	2	5019422
0.37	638825	1	5020889
0.38	637367	1	5022347
0.39	635917	0	5023797
0.4	634475	0	5025240
0.41000000000000003	633039	0	5026676
0.42	631611	0	5028104
0.43	630190	0	5029525
0.44	628775	0	5030940
0.45	627368	0	5032347
0.46	625967	0	5033748
0.47000000000000003	624573	0	5035142
0.48	623185	0	5036530
0.49	621803	0	5037912
0.5	620428	0	5039287
0.51	619059	0	5040656
0.52	617696	0	5042019
0.53	616338	0	5043377
0.54	614987	0	5044728
0.55	613642	0	5046073
0.56	612302	0	5047413
0.5700000000000001	610967	0	5048748
0.58	609639	0	5050076
0.59	608315	0	5051400
0.6	606997	0	5052718
0.61	605685	0	5054030
0.62	604377	0	5055338
0.63	603075	0	5056640
0.64	601777	0	5057938
0.65	600485	0	5059230
0.66	599197	0	5060518
0.67	597915	0	5061800
0.68	596637	0	5063078
0.6900000000000001	595364	0	5064351
0.7000000000000001	594095	0	5065620
0.71	592831	0	5066884
0.72	591571	0	5068144
0.73	590316	0	5069399
0.74	589066	0	5070649
0.75	587819	0	5071896
0.76	586577	0	5073138
0.77	585339	0	5074376
0.78	584106	0	5075609
0.79	582876	0	5076839
0.8	581651	0	5078064
0.81	580429	0	5079286
0.8200000000000001	579212	0	5080503
0.8300000000000001	577998	0	5081717
0.84	576788	0	5082927
0.85	575582	0	5084133
0.86	574380	0	5085335
0.87	573182	0	5086533
0.88	571987	0	5087728
0.89	570796	0	5088919
0.9	569609	0	5090106
0.91	568425	0	5091290
0.92	567245	0	5092470
0.93	566068	0	5093647
0.9400000000000001	564895	0	5094820
0.9500000000000001	563725	0	5095990
0.96	562559	0	5097156
0.97	561395	0	5098320
0.98	560236	0	5099479
0.99	559079	0	5100636
1.0	557926	0	5101789
1.01	556776	0	5102939
1.02	555629	0	5104086
1.03	554486	0	5105229
1.04	553345	0	5106370
1.05	552208	0	5107507
1.06	551074	0	5108641
1.07	549943	0	5109772
1.08	548815	0	5110900
1.09	547689	0	5112026
1.1	546567	0	5113148
1.11	545448	0	5114267
1.12	544332	0	5115383
