#t 	Susceptible 	Infected 	Recovered
0 	66352469	0	0
0.01	66219883	0	132586
0.02	66087563	0	264906
0.03	65955506	0	396963
0.04	65823713	1	528755
0.05	65692178	4	660287
0.06	65560881	23	791566
0.07	65429723	114	922631
0.08	65298243	553	1053673
0.09	65164297	2608	1185564
0.1	65018354	11896	1322219
0.11	64820427	51868	1480174
0.12	64408285	217660	1726524
0.13	63141506	880784	2330179
0.14	58818158	3246995	4287316
0.15	47082138	8999465	10270866
0.16	29907245	14109037	22336187
0.17	17829994	12419497	36102977
0.18	12155080	7905054	46292336
0.19	9688644	4368726	52295099
0.2	8574887	2271240	55506342
0.21	8047576	1148234	57156659
0.22	7787805	572747	57991918
0.23	7654417	283774	58414278
0.24	7581912	140103	58630454
0.25	7539038	69033	58744398
0.26	7510660	33973	58807837
0.27	7489394	16704	58846371
0.28	7471628	8208	58872633
0.29	7455589	4030	58892850
0.3	7440408	1978	58910083
0.31	7425660	970	58925839
0.32	7411135	476	58940859
0.33	7396731	233	58955505
0.34	7382398	114	58969957
0.35000000000000003	7368111	56	58984302
0.36	7353858	27	58998583
0.37	7339635	13	59012821
0.38	7325436	7	59027026
0.39	7311263	3	59041203
0.4	7297113	2	59055355
0.41000000000000003	7282987	1	59069482
0.42	7268883	0	59083585
0.43	7254804	0	59097665
0.44	7240747	0	59111722
0.45	7226714	0	59125755
0.46	7212704	0	59139765
0.47000000000000003	7198718	0	59153751
0.48	7184755	0	59167714
0.49	7170815	0	59181654
0.5	7156899	0	59195570
0.51	7143006	0	59209463
0.52	7129136	0	59223333
0.53	7115291	0	59237178
0.54	7101468	0	59251001
0.55	7087669	0	59264800
0.56	7073894	0	59278575
0.5700000000000001	7060142	0	59292327
0.58	7046413	0	59306056
0.59	7032708	0	59319761
0.6	7019027	0	59333442
0.61	7005369	0	59347100
0.62	6991734	0	59360735
0.63	6978123	0	59374346
0.64	6964536	0	59387933
0.65	6950972	0	59401497
0.66	6937432	0	59415038
0.67	6923915	0	59428554
0.68	6910421	0	59442048
0.6900000000000001	6896951	0	59455518
0.7000000000000001	6883505	0	59468964
0.71	6870082	0	59482387
0.72	6856683	0	59495786
0.73	6843307	0	59509162
0.74	6829954	0	59522515
0.75	6816625	0	59535844
0.76	6803320	0	59549149
0.77	6790038	0	59562431
0.78	6776779	0	59575690
0.79	6763544	0	59588925
0.8	6750332	0	59602137
0.81	6737143	0	59615326
0.8200000000000001	6723978	0	59628491
