#t 	Susceptible 	Infected 	Recovered
0 	60795612	0	0
0.01	60674130	0	121482
0.02	60552891	0	242721
0.03	60431894	0	363718
0.04	60311139	0	484473
0.05	60190625	0	604987
0.06	60070352	0	725260
0.07	59950316	2	845294
0.08	59830504	14	965094
0.09	59710851	73	1084688
0.1	59591026	376	1204211
0.11	59469413	1877	1324322
0.12	59338362	9092	1448157
0.13	59162763	42690	1590159
0.14	58788464	192793	1814355
0.15	57593892	816335	2385385
0.16	53499634	3036289	4259689
0.17	42615414	8292741	9887457
0.18	27058859	12763147	20973605
0.19	16223632	11126723	33445257
0.2	11121485	7051215	42622912
0.21	8897837	3881656	48016119
0.22	7894105	2009016	50892491
0.23	7419795	1010780	52365037
0.24	7186514	501685	53107413
0.25	7066703	247318	53481591
0.26	7001329	121487	53672796
0.27	6962330	59556	53773726
0.28	6936176	29159	53830277
0.29	6916298	14264	53865051
0.3	6899494	6972	53889146
0.31	6884204	3406	53908002
0.32	6869666	1663	53924283
0.33	6855509	811	53939291
0.34	6841551	396	53953665
0.35000000000000003	6827705	193	53967715
0.36	6813926	94	53981592
0.37	6800194	46	53995373
0.38	6786498	22	54009091
0.39	6772835	11	54022766
0.4	6759201	5	54036406
0.41000000000000003	6745595	3	54050014
0.42	6732017	1	54063594
0.43	6718467	1	54077145
0.44	6704943	0	54090669
0.45	6691447	0	54104165
0.46	6677977	0	54117634
0.47000000000000003	6664535	0	54131077
0.48	6651120	0	54144492
0.49	6637732	0	54157880
0.5	6624371	0	54171241
0.51	6611037	0	54184575
0.52	6597730	0	54197882
0.53	6584450	0	54211162
0.54	6571196	0	54224416
0.55	6557970	0	54237642
0.56	6544770	0	54250842
0.5700000000000001	6531597	0	54264015
0.58	6518451	0	54277161
0.59	6505331	0	54290281
0.6	6492239	0	54303373
0.61	6479172	0	54316440
0.62	6466133	0	54329479
0.63	6453120	0	54342492
0.64	6440133	0	54355479
0.65	6427173	0	54368439
0.66	6414239	0	54381373
0.67	6401332	0	54394280
0.68	6388451	0	54407162
0.6900000000000001	6375596	0	54420016
0.7000000000000001	6362767	0	54432845
0.71	6349964	0	54445648
0.72	6337188	0	54458424
0.73	6324438	0	54471174
0.74	6311713	0	54483899
0.75	6299015	0	54496597
0.76	6286343	0	54509269
0.77	6273696	0	54521916
0.78	6261076	0	54534537
0.79	6248481	0	54547131
0.8	6235911	0	54559701
0.81	6223368	0	54572244
0.8200000000000001	6210850	0	54584762
0.8300000000000001	6198357	0	54597255
0.84	6185891	0	54609721
0.85	6173449	0	54622163
0.86	6161033	0	54634579
0.87	6148643	0	54646970
0.88	6136277	0	54659335
0.89	6123937	0	54671675
0.9	6111622	0	54683990
0.91	6099333	0	54696279
0.92	6087068	0	54708544
0.93	6074828	0	54720784
0.9400000000000001	6062614	0	54732998
0.9500000000000001	6050424	0	54745188
0.96	6038259	0	54757353
0.97	6026120	0	54769492
0.98	6014005	0	54781608
0.99	6001914	0	54793698
1.0	5989848	0	54805764
1.01	5977807	0	54817805
1.02	5965791	0	54829821
1.03	5953799	0	54841813
1.04	5941832	0	54853780
1.05	5929889	0	54865723
1.06	5917970	0	54877642
1.07	5906076	0	54889536
1.08	5894206	0	54901406
1.09	5882360	0	54913252
1.1	5870538	0	54925074
1.11	5858741	0	54936871
1.12	5846968	0	54948644
1.1300000000000001	5835218	0	54960394
1.1400000000000001	5823493	0	54972119
1.1500000000000001	5811791	0	54983821
1.16	5800114	0	54995498
1.17	5788460	0	55007152
1.18	5776830	0	55018782
1.19	5765223	0	55030389
1.2	5753641	0	55041971
1.21	5742082	0	55053530
1.22	5730546	0	55065066
1.23	5719034	0	55076578
1.24	5707546	0	55088066
1.25	5696081	0	55099531
1.26	5684639	0	55110973
1.27	5673221	0	55122391
1.28	5661825	0	55133787
1.29	5650454	0	55145158
1.3	5639105	0	55156507
1.31	5627779	0	55167833
1.32	5616477	0	55179135
1.33	5605197	0	55190415
1.34	5593941	0	55201671
1.35	5582707	0	55212905
1.36	5571496	0	55224116
1.37	5560308	0	55235304
1.3800000000000001	5549143	0	55246469
1.3900000000000001	5538001	0	55257611
1.4000000000000001	5526881	0	55268731
1.41	5515784	0	55279828
1.42	5504710	0	55290902
1.43	5493658	0	55301954
1.44	5482628	0	55312984
1.45	5471621	0	55323991
1.46	5460636	0	55334976
1.47	5449674	0	55345938
1.48	5438734	0	55356878
1.49	5427817	0	55367796
1.5	5416921	0	55378691
1.51	5406048	0	55389564
1.52	5395196	0	55400416
1.53	5384367	0	55411245
1.54	5373560	0	55422052
1.55	5362775	0	55432837
1.56	5352012	0	55443600
1.57	5341270	0	55454342
1.58	5330551	0	55465061
1.59	5319853	0	55475759
1.6	5309177	0	55486435
1.61	5298522	0	55497090
1.62	5287890	0	55507722
1.6300000000000001	5277279	0	55518333
1.6400000000000001	5266689	0	55528923
1.6500000000000001	5256121	0	55539491
1.6600000000000001	5245575	0	55550037
1.67	5235049	0	55560563
1.68	5224546	0	55571066
1.69	5214063	0	55581549
1.7	5203602	0	55592010
1.71	5193162	0	55602450
1.72	5182743	0	55612869
1.73	5172346	0	55623266
1.74	5161969	0	55633643
1.75	5151614	0	55643998
1.76	5141280	0	55654332
1.77	5130966	0	55664646
1.78	5120674	0	55674938
1.79	5110402	0	55685210
1.8	5100151	0	55695461
1.81	5089921	0	55705691
1.82	5079712	0	55715900
1.83	5069524	0	55726088
1.84	5059356	0	55736256
1.85	5049209	0	55746403
1.86	5039082	0	55756530
1.87	5028976	0	55766636
1.8800000000000001	5018890	0	55776722
