#t 	Susceptible 	Infected 	Recovered
0 	1986096	0	0
0.01	1982127	0	3969
0.02	1978167	0	7929
0.03	1974214	0	11882
0.04	1970269	0	15827
0.05	1966331	0	19764
0.06	1962400	2	23694
0.07	1958467	9	27620
0.08	1954496	43	31557
0.09	1950324	201	35571
0.1	1945225	910	39961
0.11	1936188	3933	45974
0.12	1911312	16205	58579
0.13	1826996	62361	96739
0.14	1568775	197180	220141
0.15	1079731	387647	518719
0.16	641316	410879	933901
0.17	413835	287252	1285009
0.18	314229	166261	1505606
0.19	269631	88983	1627482
0.2	248542	46021	1691533
0.21	238128	23412	1724556
0.22	232787	11809	1741500
0.23	229916	5928	1750252
0.24	228264	2968	1754865
0.25	227217	1483	1757397
0.26	226471	740	1758885
0.27	225876	369	1759852
0.28	225356	184	1760557
0.29	224873	91	1761131
0.3	224410	45	1761640
0.31	223957	23	1762116
0.32	223509	11	1762575
0.33	223065	6	1763026
0.34	222622	3	1763471
0.35000000000000003	222180	1	1763914
0.36	221740	1	1764356
0.37	221300	0	1764795
0.38	220861	0	1765234
0.39	220424	0	1765672
0.4	219986	0	1766109
0.41000000000000003	219550	0	1766546
0.42	219115	0	1766981
0.43	218680	0	1767416
0.44	218246	0	1767850
0.45	217813	0	1768283
0.46	217381	0	1768715
0.47000000000000003	216949	0	1769147
0.48	216518	0	1769578
0.49	216088	0	1770008
0.5	215659	0	1770437
0.51	215231	0	1770865
0.52	214803	0	1771293
0.53	214377	0	1771719
0.54	213951	0	1772145
0.55	213525	0	1772571
0.56	213101	0	1772995
0.5700000000000001	212678	0	1773418
0.58	212255	0	1773841
0.59	211833	0	1774263
0.6	211412	0	1774684
0.61	210991	0	1775105
0.62	210572	0	1775524
0.63	210153	0	1775943
0.64	209735	0	1776361
0.65	209318	0	1776778
0.66	208901	0	1777195
0.67	208486	0	1777610
0.68	208071	0	1778025
0.6900000000000001	207657	0	1778439
0.7000000000000001	207243	0	1778853
0.71	206831	0	1779265
0.72	206419	0	1779677
0.73	206008	0	1780088
0.74	205598	0	1780498
0.75	205189	0	1780907
0.76	204781	0	1781315
0.77	204373	0	1781723
0.78	203966	0	1782130
0.79	203560	0	1782536
0.8	203154	0	1782942
0.81	202750	0	1783346
0.8200000000000001	202346	0	1783750
0.8300000000000001	201943	0	1784153
0.84	201541	0	1784555
0.85	201139	0	1784957
0.86	200738	0	1785358
0.87	200338	0	1785758
0.88	199939	0	1786157
0.89	199541	0	1786555
0.9	199143	0	1786953
0.91	198747	0	1787349
0.92	198350	0	1787746
0.93	197955	0	1788141
0.9400000000000001	197561	0	1788535
