#t 	Susceptible 	Infected 	Recovered
0 	11258434	0	0
0.01	11235937	0	22497
0.02	11213486	0	44948
0.03	11191079	0	67355
0.04	11168716	0	89717
0.05	11146397	2	112036
0.06	11124112	9	134313
0.07	11101824	45	156566
0.08	11079353	215	178866
0.09	11055873	1010	201551
0.1	11027726	4584	226124
0.11	10979722	19831	258880
0.12	10851534	81946	324954
0.13	10419265	318055	521114
0.14	9066094	1031583	1160756
0.15	6360812	2130083	2767539
0.16	3786236	2363088	5109110
0.17	2411062	1690263	7157109
0.18	1807373	986495	8464566
0.19	1538896	529019	9190520
0.2	1412793	273517	9572125
0.21	1350860	138992	9768581
0.22	1319258	70011	9869165
0.23	1302376	35095	9920963
0.24	1292736	17543	9948155
0.25	1286683	8753	9962998
0.26	1282413	4362	9971659
0.27	1279031	2171	9977232
0.28	1276091	1080	9981263
0.29	1273374	536	9984524
0.3	1270769	266	9987399
0.31	1268221	132	9990081
0.32	1265703	65	9992665
0.33	1263203	32	9995199
0.34	1260713	16	9997705
0.35000000000000003	1258230	8	10000196
0.36	1255752	4	10002678
0.37	1253279	2	10005153
0.38	1250811	1	10007622
0.39	1248346	0	10010087
0.4	1245886	0	10012548
0.41000000000000003	1243430	0	10015004
0.42	1240977	0	10017457
0.43	1238529	0	10019905
0.44	1236085	0	10022349
0.45	1233645	0	10024789
0.46	1231209	0	10027225
0.47000000000000003	1228778	0	10029656
0.48	1226350	0	10032084
0.49	1223927	0	10034507
0.5	1221507	0	10036927
0.51	1219092	0	10039342
0.52	1216681	0	10041753
0.53	1214275	0	10044159
0.54	1211872	0	10046562
0.55	1209474	0	10048960
0.56	1207080	0	10051354
0.5700000000000001	1204691	0	10053743
0.58	1202305	0	10056129
0.59	1199924	0	10058510
0.6	1197547	0	10060887
0.61	1195175	0	10063259
0.62	1192806	0	10065628
0.63	1190442	0	10067992
0.64	1188082	0	10070352
0.65	1185727	0	10072707
0.66	1183376	0	10075058
0.67	1181029	0	10077405
0.68	1178686	0	10079748
0.6900000000000001	1176348	0	10082086
0.7000000000000001	1174014	0	10084420
0.71	1171684	0	10086750
0.72	1169359	0	10089075
0.73	1167038	0	10091396
0.74	1164721	0	10093713
0.75	1162409	0	10096025
