#t 	Susceptible 	Infected 	Recovered
0 	1313271	0	0
0.01	1310647	0	2624
0.02	1308028	0	5243
0.03	1305414	0	7857
0.04	1302806	0	10465
0.05	1300202	0	13069
0.06	1297604	0	15667
0.07	1295011	0	18260
0.08	1292423	0	20847
0.09	1289838	2	23431
0.1	1287249	9	26013
0.11	1284615	46	28611
0.12	1281751	221	31299
0.13	1277803	1038	34430
0.14	1269016	4691	39565
0.15	1240386	19769	53116
0.16	1143083	72361	97828
0.17	894027	190219	229025
0.18	559626	277787	475858
0.19	337556	233593	742122
0.2	234595	145596	933080
0.21	189686	79576	1044009
0.22	169336	41052	1102882
0.23	159687	20623	1132961
0.24	154926	10228	1148117
0.25	152471	5040	1155759
0.26	151124	2475	1159672
0.27	150313	1213	1161744
0.28	149764	594	1162913
0.29	149343	291	1163638
0.3	148984	142	1164145
0.31	148656	69	1164545
0.32	148344	34	1164893
0.33	148039	17	1165215
0.34	147739	8	1165524
0.35000000000000003	147441	4	1165826
0.36	147144	2	1166125
0.37	146848	1	1166422
0.38	146553	0	1166717
0.39	146259	0	1167012
0.4	145965	0	1167306
0.41000000000000003	145672	0	1167599
0.42	145380	0	1167891
0.43	145088	0	1168183
0.44	144797	0	1168474
0.45	144506	0	1168765
0.46	144216	0	1169055
0.47000000000000003	143926	0	1169345
0.48	143638	0	1169633
0.49	143349	0	1169922
0.5	143061	0	1170210
0.51	142774	0	1170497
0.52	142488	0	1170783
0.53	142202	0	1171069
0.54	141916	0	1171355
0.55	141631	0	1171640
0.56	141347	0	1171924
0.5700000000000001	141063	0	1172208
0.58	140780	0	1172491
0.59	140497	0	1172774
0.6	140215	0	1173056
0.61	139934	0	1173337
0.62	139653	0	1173618
0.63	139373	0	1173898
0.64	139093	0	1174178
0.65	138814	0	1174457
0.66	138535	0	1174736
0.67	138257	0	1175014
0.68	137979	0	1175292
0.6900000000000001	137702	0	1175569
0.7000000000000001	137426	0	1175845
0.71	137150	0	1176121
0.72	136875	0	1176396
0.73	136600	0	1176671
0.74	136326	0	1176945
0.75	136052	0	1177219
0.76	135779	0	1177492
0.77	135506	0	1177765
0.78	135234	0	1178037
0.79	134963	0	1178308
0.8	134692	0	1178579
0.81	134422	0	1178849
0.8200000000000001	134152	0	1179119
0.8300000000000001	133883	0	1179388
0.84	133614	0	1179657
0.85	133346	0	1179925
0.86	133078	0	1180193
0.87	132811	0	1180460
0.88	132545	0	1180726
0.89	132279	0	1180992
0.9	132013	0	1181258
0.91	131748	0	1181523
0.92	131484	0	1181787
0.93	131220	0	1182051
0.9400000000000001	130957	0	1182314
0.9500000000000001	130694	0	1182577
0.96	130431	0	1182840
0.97	130170	0	1183101
0.98	129908	0	1183363
0.99	129648	0	1183623
1.0	129388	0	1183883
