#t 	Susceptible 	Infected 	Recovered
0 	10374822	0	0
0.01	10354091	0	20731
0.02	10333401	0	41421
0.03	10312753	0	62069
0.04	10292146	0	82676
0.05	10271580	1	103242
0.06	10251051	3	123768
0.07	10230547	15	144260
0.08	10210007	73	164742
0.09	10189147	345	185331
0.1	10166698	1578	206546
0.11	10137299	6919	230604
0.12	10079021	29237	266565
0.13	9904223	119490	351109
0.14	9302809	449244	622769
0.15	7599388	1301068	1474366
0.16	4918538	2170673	3285611
0.17	2919297	1997610	5457914
0.18	1960303	1298101	7116418
0.19	1543345	724162	8107315
0.2	1355725	378266	8640831
0.21	1267172	191748	8915902
0.22	1223673	95812	9055338
0.23	1201420	47532	9125869
0.24	1189398	23493	9161931
0.25	1182356	11587	9180880
0.26	1177750	5707	9191365
0.27	1174340	2809	9197673
0.28	1171519	1381	9201922
0.29	1168988	679	9205155
0.3	1166601	333	9207887
0.31	1164287	164	9210371
0.32	1162010	80	9212731
0.33	1159753	39	9215030
0.34	1157507	19	9217295
0.35000000000000003	1155269	9	9219544
0.36	1153035	5	9221782
0.37	1150806	2	9224014
0.38	1148581	1	9226240
0.39	1146359	1	9228463
0.4	1144140	0	9230682
0.41000000000000003	1141925	0	9232897
0.42	1139713	0	9235109
0.43	1137505	0	9237317
0.44	1135300	0	9239522
0.45	1133098	0	9241724
0.46	1130899	0	9243923
0.47000000000000003	1128704	0	9246118
0.48	1126512	0	9248310
0.49	1124324	0	9250498
0.5	1122139	0	9252683
0.51	1119957	0	9254865
0.52	1117779	0	9257043
0.53	1115604	0	9259218
0.54	1113433	0	9261389
0.55	1111265	0	9263557
0.56	1109100	0	9265722
0.5700000000000001	1106939	0	9267883
0.58	1104782	0	9270040
0.59	1102627	0	9272195
0.6	1100477	0	9274345
0.61	1098329	0	9276493
0.62	1096186	0	9278636
0.63	1094045	0	9280777
0.64	1091909	0	9282913
0.65	1089775	0	9285047
0.66	1087645	0	9287177
0.67	1085519	0	9289303
0.68	1083396	0	9291426
0.6900000000000001	1081277	0	9293545
0.7000000000000001	1079161	0	9295661
0.71	1077049	0	9297773
0.72	1074940	0	9299882
0.73	1072835	0	9301987
0.74	1070734	0	9304088
0.75	1068636	0	9306186
0.76	1066541	0	9308281
0.77	1064450	0	9310372
0.78	1062363	0	9312459
0.79	1060279	0	9314543
0.8	1058199	0	9316623
0.81	1056122	0	9318700
0.8200000000000001	1054049	0	9320773
0.8300000000000001	1051979	0	9322843
0.84	1049913	0	9324909
0.85	1047851	0	9326971
0.86	1045792	0	9329030
0.87	1043737	0	9331085
0.88	1041685	0	9333137
0.89	1039637	0	9335185
0.9	1037592	0	9337230
0.91	1035551	0	9339271
0.92	1033514	0	9341308
0.93	1031480	0	9343342
0.9400000000000001	1029450	0	9345372
0.9500000000000001	1027424	0	9347398
0.96	1025401	0	9349421
0.97	1023381	0	9351441
0.98	1021365	0	9353457
0.99	1019353	0	9355469
1.0	1017345	0	9357477
1.01	1015340	0	9359482
1.02	1013338	0	9361484
1.03	1011341	0	9363481
1.04	1009346	0	9365476
1.05	1007356	0	9367466
1.06	1005369	0	9369453
1.07	1003385	0	9371437
1.08	1001405	0	9373417
1.09	999429	0	9375393
1.1	997457	0	9377365
1.11	995487	0	9379335
1.12	993522	0	9381300
1.1300000000000001	991560	0	9383262
1.1400000000000001	989602	0	9385220
1.1500000000000001	987647	0	9387175
1.16	985696	0	9389126
1.17	983748	0	9391074
1.18	981804	0	9393018
1.19	979864	0	9394958
1.2	977927	0	9396895
1.21	975994	0	9398828
1.22	974064	0	9400758
1.23	972138	0	9402684
1.24	970215	0	9404607
1.25	968296	0	9406526
1.26	966381	0	9408441
1.27	964469	0	9410353
1.28	962561	0	9412261
1.29	960656	0	9414166
1.3	958754	0	9416068
1.31	956857	0	9417965
1.32	954963	0	9419859
1.33	953072	0	9421750
1.34	951185	0	9423637
1.35	949301	0	9425521
1.36	947421	0	9427401
1.37	945545	0	9429277
1.3800000000000001	943672	0	9431150
1.3900000000000001	941802	0	9433020
1.4000000000000001	939936	0	9434886
1.41	938074	0	9436748
1.42	936215	0	9438607
1.43	934360	0	9440462
1.44	932508	0	9442314
1.45	930659	0	9444163
1.46	928814	0	9446008
1.47	926973	0	9447849
1.48	925135	0	9449687
1.49	923301	0	9451521
1.5	921470	0	9453352
1.51	919642	0	9455180
1.52	917818	0	9457004
1.53	915997	0	9458825
1.54	914180	0	9460642
1.55	912367	0	9462455
1.56	910556	0	9464266
1.57	908750	0	9466072
1.58	906946	0	9467876
1.59	905147	0	9469675
1.6	903350	0	9471472
1.61	901557	0	9473265
1.62	899768	0	9475054
1.6300000000000001	897981	0	9476841
1.6400000000000001	896199	0	9478623
1.6500000000000001	894419	0	9480403
1.6600000000000001	892643	0	9482179
1.67	890871	0	9483951
1.68	889102	0	9485720
1.69	887336	0	9487486
1.7	885574	0	9489248
1.71	883815	0	9491007
1.72	882059	0	9492763
1.73	880307	0	9494515
1.74	878558	0	9496264
1.75	876813	0	9498009
1.76	875071	0	9499751
1.77	873332	0	9501490
1.78	871597	0	9503225
1.79	869865	0	9504957
1.8	868136	0	9506686
1.81	866411	0	9508411
1.82	864689	0	9510133
1.83	862970	0	9511852
1.84	861255	0	9513567
1.85	859543	0	9515279
1.86	857834	0	9516988
1.87	856129	0	9518693
1.8800000000000001	854427	0	9520395
1.8900000000000001	852728	0	9522094
1.9000000000000001	851032	0	9523790
1.9100000000000001	849340	0	9525482
1.92	847651	0	9527171
1.93	845965	0	9528857
1.94	844283	0	9530539
1.95	842604	0	9532218
1.96	840928	0	9533894
1.97	839255	0	9535567
1.98	837586	0	9537236
1.99	835920	0	9538902
2.0	834257	0	9540565
2.0100000000000002	832597	0	9542225
2.02	830941	0	9543881
2.0300000000000002	829288	0	9545534
2.04	827638	0	9547184
2.05	825991	0	9548831
2.06	824348	0	9550474
2.07	822707	0	9552115
2.08	821070	0	9553752
2.09	819436	0	9555386
2.1	817805	0	9557017
2.11	816178	0	9558644
2.12	814554	0	9560268
2.13	812932	0	9561890
2.14	811314	0	9563508
2.15	809699	0	9565123
2.16	808088	0	9566734
2.17	806479	0	9568343
2.18	804874	0	9569948
2.19	803271	0	9571551
2.2	801672	0	9573150
2.21	800076	0	9574746
2.22	798483	0	9576339
2.23	796894	0	9577929
2.24	795307	0	9579515
2.25	793723	0	9581099
2.2600000000000002	792143	0	9582679
2.27	790565	0	9584257
2.2800000000000002	788991	0	9585831
2.29	787420	0	9587402
2.3000000000000003	785852	0	9588970
2.31	784287	0	9590535
2.32	782725	0	9592097
2.33	781166	0	9593656
2.34	779610	0	9595212
2.35	778057	0	9596765
2.36	776508	0	9598314
2.37	774961	0	9599861
2.38	773417	0	9601405
2.39	771877	0	9602945
2.4	770339	0	9604483
2.41	768805	0	9606017
2.42	767273	0	9607549
2.43	765745	0	9609077
2.44	764219	0	9610603
2.45	762696	0	9612126
2.46	761177	0	9613645
2.47	759660	0	9615162
2.48	758147	0	9616675
2.49	756636	0	9618186
2.5	755129	0	9619693
2.5100000000000002	753624	0	9621198
2.52	752122	0	9622700
2.5300000000000002	750624	0	9624198
2.54	749128	0	9625694
2.5500000000000003	747635	0	9627187
2.56	746145	0	9628677
2.57	744658	0	9630164
2.58	743174	0	9631648
2.59	741693	0	9633129
2.6	740215	0	9634607
2.61	738740	0	9636082
2.62	737267	0	9637555
2.63	735798	0	9639024
2.64	734331	0	9640491
2.65	732868	0	9641954
2.66	731407	0	9643415
2.67	729949	0	9644873
2.68	728494	0	9646328
2.69	727042	0	9647780
2.7	725593	0	9649229
2.71	724146	0	9650676
2.72	722703	0	9652119
2.73	721262	0	9653560
2.74	719824	0	9654998
2.75	718389	0	9656433
2.7600000000000002	716957	0	9657865
2.77	715528	0	9659294
2.7800000000000002	714101	0	9660721
2.79	712677	0	9662145
2.8000000000000003	711257	0	9663565
2.81	709838	0	9664984
2.82	708423	0	9666399
2.83	707011	0	9667811
2.84	705601	0	9669221
2.85	704194	0	9670628
2.86	702790	0	9672032
2.87	701389	0	9673433
2.88	699990	0	9674832
2.89	698594	0	9676228
2.9	697201	0	9677621
2.91	695811	0	9679011
2.92	694423	0	9680399
2.93	693039	0	9681783
2.94	691657	0	9683165
2.95	690277	0	9684545
2.96	688901	0	9685921
2.97	687527	0	9687295
2.98	686156	0	9688666
2.99	684787	0	9690035
3.0	683422	0	9691400
3.0100000000000002	682059	0	9692763
3.02	680698	0	9694124
3.0300000000000002	679341	0	9695481
3.04	677986	0	9696836
3.0500000000000003	676634	0	9698188
3.06	675284	0	9699538
3.0700000000000003	673937	0	9700885
3.08	672593	0	9702229
3.09	671251	0	9703571
3.1	669912	0	9704910
3.11	668576	0	9706246
3.12	667243	0	9707579
3.13	665912	0	9708910
3.14	664583	0	9710239
3.15	663258	0	9711564
3.16	661935	0	9712887
3.17	660614	0	9714208
3.18	659296	0	9715526
3.19	657981	0	9716841
3.2	656669	0	9718153
3.21	655359	0	9719463
3.22	654051	0	9720771
3.23	652746	0	9722076
3.24	651444	0	9723378
3.25	650145	0	9724677
3.2600000000000002	648848	0	9725974
3.27	647553	0	9727269
3.2800000000000002	646261	0	9728561
3.29	644972	0	9729850
3.3000000000000003	643685	0	9731137
3.31	642401	0	9732421
3.3200000000000003	641119	0	9733703
3.33	639840	0	9734982
3.34	638563	0	9736259
3.35	637289	0	9737533
3.36	636018	0	9738804
3.37	634749	0	9740073
3.38	633482	0	9741340
3.39	632218	0	9742604
3.4	630957	0	9743865
3.41	629698	0	9745124
3.42	628442	0	9746380
3.43	627188	0	9747634
3.44	625936	0	9748886
3.45	624687	0	9750135
3.46	623441	0	9751381
3.47	622197	0	9752625
3.48	620955	0	9753867
3.49	619716	0	9755106
3.5	618479	0	9756343
3.5100000000000002	617245	0	9757577
3.52	616013	0	9758809
3.5300000000000002	614784	0	9760038
3.54	613557	0	9761265
3.5500000000000003	612333	0	9762489
3.56	611111	0	9763711
