#t 	Susceptible 	Infected 	Recovered
0 	64767115	0	0
0.01	64637697	0	129418
0.02	64508538	0	258577
0.03	64379637	0	387478
0.04	64250992	1	516122
0.05	64122596	7	644512
0.06	63994420	34	772661
0.07	63866318	170	900627
0.08	63737601	823	1028691
0.09	63605083	3881	1158152
0.1	63454598	17688	1294829
0.11	63226844	77008	1463263
0.12	62682832	321690	1762593
0.13	60902206	1280839	2584069
0.14	55007151	4464094	5295870
0.15	41162323	10722430	12882362
0.16	25030969	13946341	25789805
0.17	15375727	10893544	38497844
0.18	11040189	6596153	47130773
0.19	9134469	3586811	52045834
0.2	8253916	1861839	54651361
0.21	7827905	945721	55993489
0.22	7613782	475234	56678098
0.23	7501470	237468	57028178
0.24	7438872	118287	57209957
0.25	7400748	58808	57307560
0.26	7374719	29199	57363197
0.27	7354680	14483	57397952
0.28	7337610	7177	57422328
0.29	7322014	3554	57441547
0.3	7307152	1759	57458204
0.31	7292660	870	57473585
0.32	7278356	430	57488329
0.33	7264151	212	57502752
0.34	7250002	105	57517008
0.35000000000000003	7235888	52	57531176
0.36	7221798	25	57545292
0.37	7207727	13	57559375
0.38	7193674	6	57573435
0.39	7179638	3	57587474
0.4	7165619	1	57601495
0.41000000000000003	7151616	1	57615498
0.42	7137631	0	57629484
0.43	7123663	0	57643452
0.44	7109713	0	57657402
0.45	7095781	0	57671334
0.46	7081868	0	57685248
0.47000000000000003	7067973	0	57699142
0.48	7054098	0	57713017
0.49	7040242	0	57726873
0.5	7026406	0	57740709
0.51	7012591	0	57754524
0.52	6998795	0	57768320
0.53	6985020	0	57782095
0.54	6971266	0	57795849
0.55	6957533	0	57809582
0.56	6943821	0	57823294
0.5700000000000001	6930131	0	57836984
0.58	6916462	0	57850653
0.59	6902815	0	57864300
0.6	6889190	0	57877925
0.61	6875588	0	57891528
0.62	6862007	0	57905108
0.63	6848449	0	57918666
0.64	6834913	0	57932202
0.65	6821400	0	57945715
0.66	6807909	0	57959206
0.67	6794442	0	57972673
0.68	6780997	0	57986118
0.6900000000000001	6767575	0	57999540
0.7000000000000001	6754177	0	58012938
0.71	6740802	0	58026313
0.72	6727450	0	58039665
