#t 	Susceptible 	Infected 	Recovered
0 	9747355	0	0
0.01	9727878	0	19477
0.02	9708440	0	38915
0.03	9689040	0	58315
0.04	9669680	0	77675
0.05	9650358	0	96997
0.06	9631074	0	116281
0.07	9611828	1	135526
0.08	9592615	5	154735
0.09	9573410	27	173918
0.1	9554093	138	193124
0.11	9534071	688	212595
0.12	9510553	3326	233476
0.13	9470802	15538	261015
0.14	9359963	69224	318168
0.15	8970514	280892	495949
0.16	7751386	915281	1080689
0.17	5383808	1847163	2516384
0.18	3198917	1996983	4551455
0.19	2046220	1403621	6297514
0.2	1541014	806962	7399379
0.21	1317763	425333	8004259
0.22	1214389	215618	8317348
0.23	1164462	107322	8475571
0.24	1139357	52942	8555057
0.25	1126062	25996	8595296
0.26	1118462	12734	8616160
0.27	1113625	6228	8627502
0.28	1110135	3043	8634177
0.29	1107301	1486	8638568
0.3	1104791	725	8641839
0.31	1102439	354	8644563
0.32	1100166	172	8647017
0.33	1097934	84	8649337
0.34	1095724	41	8651590
0.35000000000000003	1093526	20	8653809
0.36	1091336	10	8656009
0.37	1089153	5	8658198
0.38	1086974	2	8660379
0.39	1084800	1	8662554
0.4	1082630	1	8664725
0.41000000000000003	1080463	0	8666891
0.42	1078301	0	8669053
0.43	1076143	0	8671212
0.44	1073989	0	8673366
0.45	1071839	0	8675516
0.46	1069693	0	8677662
0.47000000000000003	1067551	0	8679804
0.48	1065413	0	8681942
0.49	1063279	0	8684076
0.5	1061149	0	8686206
0.51	1059023	0	8688332
0.52	1056901	0	8690454
0.53	1054783	0	8692572
0.54	1052669	0	8694686
0.55	1050559	0	8696796
0.56	1048453	0	8698902
0.5700000000000001	1046351	0	8701004
0.58	1044253	0	8703102
0.59	1042160	0	8705195
0.6	1040070	0	8707285
0.61	1037984	0	8709371
0.62	1035902	0	8711453
0.63	1033825	0	8713530
0.64	1031751	0	8715604
0.65	1029681	0	8717674
0.66	1027616	0	8719739
0.67	1025554	0	8721801
0.68	1023497	0	8723858
0.6900000000000001	1021443	0	8725912
0.7000000000000001	1019394	0	8727961
0.71	1017348	0	8730007
0.72	1015307	0	8732048
0.73	1013270	0	8734085
0.74	1011236	0	8736119
0.75	1009207	0	8738148
0.76	1007181	0	8740174
0.77	1005160	0	8742195
0.78	1003142	0	8744213
0.79	1001129	0	8746226
0.8	999120	0	8748235
0.81	997114	0	8750241
0.8200000000000001	995113	0	8752242
0.8300000000000001	993115	0	8754240
0.84	991122	0	8756233
0.85	989132	0	8758223
0.86	987147	0	8760208
0.87	985165	0	8762190
0.88	983187	0	8764168
0.89	981213	0	8766142
0.9	979244	0	8768111
0.91	977278	0	8770077
0.92	975316	0	8772039
0.93	973358	0	8773997
0.9400000000000001	971404	0	8775951
0.9500000000000001	969453	0	8777902
0.96	967507	0	8779848
0.97	965565	0	8781790
0.98	963626	0	8783729
0.99	961692	0	8785663
1.0	959761	0	8787594
1.01	957834	0	8789521
1.02	955911	0	8791444
1.03	953992	0	8793363
1.04	952077	0	8795278
1.05	950165	0	8797190
1.06	948258	0	8799097
1.07	946354	0	8801001
1.08	944454	0	8802901
1.09	942558	0	8804797
1.1	940666	0	8806689
1.11	938777	0	8808578
1.12	936893	0	8810462
1.1300000000000001	935012	0	8812343
1.1400000000000001	933135	0	8814220
1.1500000000000001	931262	0	8816093
1.16	929392	0	8817963
1.17	927526	0	8819829
1.18	925665	0	8821691
1.19	923806	0	8823549
1.2	921952	0	8825403
1.21	920101	0	8827254
1.22	918254	0	8829101
1.23	916411	0	8830944
1.24	914572	0	8832783
1.25	912736	0	8834619
1.26	910904	0	8836451
1.27	909076	0	8838279
1.28	907251	0	8840104
1.29	905430	0	8841925
1.3	903613	0	8843742
1.31	901799	0	8845556
1.32	899989	0	8847366
1.33	898183	0	8849172
1.34	896380	0	8850975
1.35	894581	0	8852774
1.36	892786	0	8854569
1.37	890995	0	8856360
1.3800000000000001	889207	0	8858148
1.3900000000000001	887422	0	8859933
1.4000000000000001	885641	0	8861714
1.41	883864	0	8863491
1.42	882091	0	8865264
1.43	880321	0	8867034
1.44	878554	0	8868801
1.45	876791	0	8870564
1.46	875032	0	8872323
1.47	873276	0	8874079
1.48	871524	0	8875831
1.49	869776	0	8877579
1.5	868031	0	8879324
1.51	866289	0	8881066
1.52	864551	0	8882804
1.53	862817	0	8884538
1.54	861086	0	8886269
1.55	859358	0	8887997
1.56	857635	0	8889720
1.57	855914	0	8891441
1.58	854197	0	8893158
1.59	852484	0	8894871
1.6	850774	0	8896581
1.61	849067	0	8898288
1.62	847364	0	8899991
1.6300000000000001	845665	0	8901690
1.6400000000000001	843968	0	8903387
1.6500000000000001	842276	0	8905079
1.6600000000000001	840586	0	8906769
1.67	838901	0	8908454
1.68	837218	0	8910137
1.69	835539	0	8911816
1.7	833864	0	8913491
1.71	832191	0	8915164
1.72	830522	0	8916833
1.73	828857	0	8918498
1.74	827195	0	8920160
1.75	825536	0	8921819
1.76	823881	0	8923474
1.77	822229	0	8925126
1.78	820580	0	8926775
1.79	818935	0	8928420
1.8	817293	0	8930062
1.81	815654	0	8931701
1.82	814019	0	8933336
1.83	812387	0	8934968
1.84	810758	0	8936597
1.85	809133	0	8938222
1.86	807511	0	8939844
1.87	805892	0	8941463
1.8800000000000001	804277	0	8943078
1.8900000000000001	802664	0	8944691
1.9000000000000001	801055	0	8946300
