#t 	Susceptible 	Infected 	Recovered
0 	7364570	0	0
0.01	7349854	0	14716
0.02	7335168	0	29402
0.03	7320510	0	44060
0.04	7305882	0	58688
0.05	7291281	2	73287
0.06	7276700	9	87861
0.07	7262100	44	102426
0.08	7247306	212	117052
0.09	7231498	999	132074
0.1	7211057	4534	148979
0.11	7170967	19603	174000
0.12	7052218	80472	231880
0.13	6646179	303154	415237
0.14	5481278	891511	991781
0.15	3583231	1533315	2248024
0.16	2121374	1446619	3796577
0.17	1412647	951579	5000344
0.18	1105446	534098	5725026
0.19	967564	280479	6116527
0.2	902323	143056	6319191
0.21	870121	71960	6422488
0.22	853576	35944	6475050
0.23	844616	17886	6502068
0.24	839372	8881	6516317
0.25	835960	4403	6524207
0.26	833453	2181	6528936
0.27	831395	1079	6532095
0.28	829560	534	6534476
0.29	827837	264	6536469
0.3	826170	130	6538270
0.31	824532	64	6539973
0.32	822911	32	6541627
0.33	821298	16	6543256
0.34	819692	8	6544870
0.35000000000000003	818090	4	6546476
0.36	816492	2	6548076
0.37	814897	1	6549672
0.38	813305	0	6551265
0.39	811715	0	6552854
0.4	810129	0	6554441
0.41000000000000003	808546	0	6556024
0.42	806965	0	6557605
0.43	805387	0	6559183
0.44	803812	0	6560758
0.45	802240	0	6562330
0.46	800671	0	6563899
0.47000000000000003	799105	0	6565465
0.48	797541	0	6567029
0.49	795980	0	6568590
0.5	794422	0	6570148
0.51	792867	0	6571703
0.52	791315	0	6573255
0.53	789765	0	6574805
0.54	788219	0	6576351
0.55	786675	0	6577895
0.56	785134	0	6579436
0.5700000000000001	783596	0	6580974
0.58	782061	0	6582509
0.59	780528	0	6584042
0.6	778998	0	6585572
0.61	777472	0	6587098
0.62	775947	0	6588623
0.63	774426	0	6590144
0.64	772908	0	6591662
0.65	771392	0	6593178
0.66	769879	0	6594691
0.67	768369	0	6596201
0.68	766862	0	6597708
0.6900000000000001	765357	0	6599213
0.7000000000000001	763856	0	6600715
0.71	762357	0	6602213
0.72	760860	0	6603710
0.73	759367	0	6605203
0.74	757876	0	6606694
0.75	756388	0	6608182
0.76	754903	0	6609667
0.77	753421	0	6611149
0.78	751941	0	6612629
0.79	750465	0	6614105
0.8	748990	0	6615580
0.81	747519	0	6617051
0.8200000000000001	746051	0	6618519
0.8300000000000001	744585	0	6619985
0.84	743122	0	6621448
0.85	741661	0	6622909
0.86	740204	0	6624367
0.87	738749	0	6625821
0.88	737296	0	6627274
0.89	735847	0	6628723
0.9	734400	0	6630170
0.91	732956	0	6631614
0.92	731515	0	6633055
0.93	730076	0	6634494
0.9400000000000001	728640	0	6635930
0.9500000000000001	727207	0	6637363
0.96	725776	0	6638794
0.97	724348	0	6640222
0.98	722923	0	6641647
0.99	721500	0	6643070
1.0	720080	0	6644490
1.01	718663	0	6645907
1.02	717249	0	6647321
1.03	715837	0	6648733
1.04	714428	0	6650142
1.05	713021	0	6651549
1.06	711617	0	6652953
1.07	710216	0	6654354
1.08	708817	0	6655753
1.09	707421	0	6657149
1.1	706028	0	6658542
1.11	704637	0	6659933
1.12	703249	0	6661321
1.1300000000000001	701864	0	6662706
1.1400000000000001	700481	0	6664089
1.1500000000000001	699101	0	6665469
1.16	697723	0	6666847
1.17	696348	0	6668222
1.18	694976	0	6669594
1.19	693606	0	6670964
1.2	692239	0	6672331
1.21	690874	0	6673696
1.22	689512	0	6675058
1.23	688152	0	6676418
1.24	686796	0	6677774
1.25	685441	0	6679129
1.26	684090	0	6680480
1.27	682740	0	6681830
1.28	681394	0	6683176
1.29	680050	0	6684520
1.3	678708	0	6685862
1.31	677369	0	6687201
1.32	676033	0	6688537
1.33	674699	0	6689871
1.34	673368	0	6691202
1.35	672039	0	6692531
1.36	670713	0	6693857
1.37	669389	0	6695181
1.3800000000000001	668068	0	6696502
1.3900000000000001	666749	0	6697821
1.4000000000000001	665433	0	6699137
1.41	664119	0	6700451
1.42	662808	0	6701762
1.43	661499	0	6703071
1.44	660193	0	6704377
1.45	658890	0	6705680
1.46	657588	0	6706982
1.47	656290	0	6708280
1.48	654994	0	6709576
1.49	653700	0	6710870
1.5	652409	0	6712161
1.51	651120	0	6713450
1.52	649833	0	6714737
1.53	648550	0	6716020
1.54	647268	0	6717302
1.55	645989	0	6718581
1.56	644713	0	6719857
1.57	643439	0	6721131
1.58	642167	0	6722403
1.59	640898	0	6723672
1.6	639631	0	6724939
1.61	638367	0	6726203
1.62	637105	0	6727465
1.6300000000000001	635845	0	6728725
1.6400000000000001	634588	0	6729982
1.6500000000000001	633334	0	6731236
1.6600000000000001	632081	0	6732489
1.67	630832	0	6733738
1.68	629584	0	6734986
1.69	628339	0	6736231
1.7	627097	0	6737474
1.71	625856	0	6738714
1.72	624618	0	6739952
1.73	623383	0	6741187
1.74	622150	0	6742420
1.75	620919	0	6743651
1.76	619691	0	6744879
1.77	618465	0	6746105
1.78	617241	0	6747329
1.79	616020	0	6748550
1.8	614801	0	6749769
1.81	613584	0	6750986
1.82	612370	0	6752200
1.83	611158	0	6753412
1.84	609948	0	6754622
1.85	608741	0	6755829
1.86	607536	0	6757034
1.87	606333	0	6758237
1.8800000000000001	605133	0	6759437
1.8900000000000001	603935	0	6760635
1.9000000000000001	602740	0	6761830
1.9100000000000001	601546	0	6763024
1.92	600355	0	6764215
1.93	599166	0	6765404
1.94	597980	0	6766590
1.95	596796	0	6767774
1.96	595614	0	6768956
1.97	594434	0	6770136
1.98	593257	0	6771313
1.99	592082	0	6772488
2.0	590909	0	6773661
2.0100000000000002	589739	0	6774831
2.02	588570	0	6776000
2.0300000000000002	587405	0	6777166
2.04	586241	0	6778329
2.05	585079	0	6779491
