#t 	Susceptible 	Infected 	Recovered
0 	5471753	0	0
0.01	5460819	0	10934
0.02	5449908	0	21845
0.03	5439017	0	32736
0.04	5428149	0	43604
0.05	5417302	1	54451
0.06	5406472	4	65278
0.07	5395644	18	76091
0.08	5384743	89	86921
0.09	5373426	419	97907
0.1	5360171	1906	109676
0.11	5338638	8262	124853
0.12	5283512	34276	153966
0.13	5099358	134436	237959
0.14	4508270	449542	513941
0.15	3245048	987313	1239392
0.16	1944668	1164443	2362642
0.17	1220950	860865	3389939
0.18	900664	509964	4061125
0.19	758553	275422	4437778
0.2	692065	142879	4636809
0.21	659545	72714	4739495
0.22	643027	36646	4792080
0.23	634258	18372	4819123
0.24	629296	9182	4833275
0.25	626218	4581	4840954
0.26	624076	2282	4845396
0.27	622399	1135	4848219
0.28	620954	564	4850234
0.29	619626	280	4851847
0.3	618356	139	4853258
0.31	617116	69	4854568
0.32	615892	34	4855827
0.33	614677	17	4857060
0.34	613466	8	4858278
0.35000000000000003	612259	4	4859490
0.36	611055	2	4860696
0.37	609853	1	4861899
0.38	608653	0	4863100
0.39	607455	0	4864298
0.4	606258	0	4865495
0.41000000000000003	605064	0	4866689
0.42	603871	0	4867882
0.43	602681	0	4869072
0.44	601492	0	4870261
0.45	600305	0	4871448
0.46	599120	0	4872633
0.47000000000000003	597937	0	4873816
0.48	596756	0	4874997
0.49	595576	0	4876177
0.5	594399	0	4877354
0.51	593224	0	4878529
0.52	592050	0	4879703
0.53	590879	0	4880874
0.54	589709	0	4882044
0.55	588542	0	4883211
0.56	587376	0	4884377
0.5700000000000001	586212	0	4885541
0.58	585051	0	4886702
0.59	583891	0	4887862
0.6	582734	0	4889019
0.61	581578	0	4890175
0.62	580424	0	4891329
0.63	579273	0	4892480
0.64	578123	0	4893630
0.65	576976	0	4894777
0.66	575830	0	4895923
0.67	574687	0	4897066
0.68	573545	0	4898208
0.6900000000000001	572406	0	4899347
0.7000000000000001	571268	0	4900485
0.71	570133	0	4901620
0.72	569000	0	4902753
0.73	567868	0	4903885
0.74	566739	0	4905014
0.75	565612	0	4906141
0.76	564487	0	4907266
0.77	563364	0	4908389
0.78	562243	0	4909510
0.79	561124	0	4910629
0.8	560007	0	4911746
0.81	558892	0	4912861
0.8200000000000001	557779	0	4913974
0.8300000000000001	556669	0	4915084
0.84	555560	0	4916193
0.85	554454	0	4917299
0.86	553349	0	4918404
0.87	552247	0	4919506
0.88	551146	0	4920607
0.89	550048	0	4921705
0.9	548952	0	4922801
0.91	547857	0	4923896
0.92	546765	0	4924988
0.93	545675	0	4926078
0.9400000000000001	544587	0	4927166
0.9500000000000001	543501	0	4928252
0.96	542418	0	4929335
0.97	541336	0	4930417
0.98	540256	0	4931497
0.99	539178	0	4932575
1.0	538103	0	4933650
1.01	537029	0	4934724
1.02	535958	0	4935795
1.03	534888	0	4936865
1.04	533821	0	4937932
1.05	532755	0	4938998
1.06	531692	0	4940061
1.07	530631	0	4941122
1.08	529572	0	4942181
1.09	528514	0	4943239
1.1	527459	0	4944294
1.11	526406	0	4945347
1.12	525355	0	4946398
1.1300000000000001	524306	0	4947447
1.1400000000000001	523259	0	4948494
1.1500000000000001	522214	0	4949539
1.16	521171	0	4950582
1.17	520131	0	4951622
1.18	519092	0	4952661
1.19	518055	0	4953698
1.2	517020	0	4954733
1.21	515987	0	4955766
1.22	514957	0	4956796
1.23	513928	0	4957825
1.24	512901	0	4958852
1.25	511877	0	4959876
1.26	510854	0	4960899
1.27	509833	0	4961920
1.28	508815	0	4962938
1.29	507798	0	4963955
1.3	506783	0	4964970
1.31	505771	0	4965982
1.32	504760	0	4966993
1.33	503751	0	4968002
1.34	502745	0	4969009
1.35	501740	0	4970013
1.36	500737	0	4971016
1.37	499736	0	4972017
1.3800000000000001	498738	0	4973016
1.3900000000000001	497741	0	4974012
1.4000000000000001	496746	0	4975007
1.41	495753	0	4976000
1.42	494762	0	4976991
1.43	493773	0	4977980
1.44	492786	0	4978967
1.45	491801	0	4979952
1.46	490818	0	4980935
1.47	489837	0	4981916
1.48	488858	0	4982895
1.49	487880	0	4983873
1.5	486905	0	4984848
1.51	485932	0	4985821
1.52	484960	0	4986793
