#t 	Susceptible 	Infected 	Recovered
0 	562958	0	0
0.01	561833	0	1125
0.02	560710	0	2248
0.03	559590	0	3368
0.04	558472	0	4486
0.05	557355	0	5602
0.06	556240	2	6717
0.07	555118	8	7833
0.08	553959	37	8962
0.09	552622	173	10162
0.1	550495	776	11687
0.11	545105	3286	14568
0.12	527351	12893	22714
0.13	470658	43245	49055
0.14	346427	97646	118885
0.15	211951	120539	230468
0.16	133945	92929	336084
0.17	98668	57162	407128
0.18	82692	32122	448144
0.19	74911	17426	470621
0.2	70895	9291	482772
0.21	68742	4896	489320
0.22	67541	2558	492858
0.23	66834	1328	494796
0.24	66382	686	495890
0.25	66064	353	496541
0.26	65816	181	496961
0.27	65605	92	497261
0.28	65413	47	497498
0.29	65231	24	497703
0.3	65056	12	497889
0.31	64885	6	498066
0.32	64717	3	498238
0.33	64551	2	498406
0.34	64386	1	498571
0.35000000000000003	64223	0	498735
0.36	64061	0	498896
0.37	63901	0	499057
0.38	63742	0	499216
0.39	63584	0	499374
0.4	63428	0	499530
0.41000000000000003	63272	0	499686
0.42	63118	0	499840
0.43	62965	0	499993
0.44	62813	0	500145
0.45	62662	0	500296
0.46	62512	0	500446
0.47000000000000003	62364	0	500594
0.48	62216	0	500742
0.49	62069	0	500889
0.5	61923	0	501035
0.51	61778	0	501180
0.52	61634	0	501324
0.53	61491	0	501467
0.54	61349	0	501609
0.55	61207	0	501751
0.56	61067	0	501891
0.5700000000000001	60927	0	502031
0.58	60788	0	502170
0.59	60650	0	502308
0.6	60512	0	502446
0.61	60376	0	502582
0.62	60240	0	502718
0.63	60105	0	502853
0.64	59970	0	502988
0.65	59836	0	503122
0.66	59703	0	503255
0.67	59571	0	503387
0.68	59439	0	503519
0.6900000000000001	59308	0	503650
0.7000000000000001	59177	0	503781
0.71	59048	0	503910
0.72	58918	0	504040
0.73	58790	0	504168
0.74	58661	0	504297
0.75	58534	0	504424
0.76	58407	0	504551
0.77	58281	0	504677
0.78	58155	0	504803
0.79	58029	0	504929
0.8	57904	0	505054
0.81	57780	0	505178
0.8200000000000001	57656	0	505302
0.8300000000000001	57533	0	505425
0.84	57410	0	505548
0.85	57288	0	505670
0.86	57166	0	505792
0.87	57044	0	505914
0.88	56924	0	506034
0.89	56803	0	506155
0.9	56683	0	506275
0.91	56563	0	506395
0.92	56444	0	506514
0.93	56325	0	506633
0.9400000000000001	56207	0	506751
0.9500000000000001	56089	0	506869
0.96	55971	0	506987
0.97	55854	0	507104
0.98	55738	0	507220
0.99	55621	0	507337
1.0	55505	0	507453
1.01	55390	0	507568
1.02	55274	0	507684
1.03	55159	0	507799
1.04	55045	0	507913
1.05	54931	0	508027
1.06	54817	0	508141
1.07	54703	0	508255
1.08	54590	0	508368
1.09	54478	0	508480
1.1	54365	0	508593
1.11	54253	0	508705
1.12	54141	0	508817
1.1300000000000001	54030	0	508928
1.1400000000000001	53919	0	509039
1.1500000000000001	53808	0	509150
1.16	53697	0	509261
1.17	53587	0	509371
1.18	53477	0	509481
1.19	53368	0	509590
1.2	53258	0	509700
1.21	53150	0	509808
