#t 	Susceptible 	Infected 	Recovered
0 	16900726	0	0
0.01	16866955	0	33771
0.02	16833251	0	67475
0.03	16799615	0	101111
0.04	16766046	0	134680
0.05	16732544	0	168182
0.06	16699109	0	201617
0.07	16665739	1	234986
0.08	16632427	7	268291
0.09	16599139	39	301548
0.1	16565697	201	334828
0.11	16531235	1006	368485
0.12	16491658	4870	404198
0.13	16428195	22836	449694
0.14	16259116	102530	539080
0.15	15667846	422800	810080
0.16	13761659	1426258	1712809
0.17	9801435	3064562	4034729
0.18	5854975	3518113	7527637
0.19	3689439	2552822	10658465
0.2	2734152	1487912	12678662
0.21	2313752	788884	13798090
0.22	2120006	400959	14379760
0.23	2026800	199801	14674125
0.24	1980119	98607	14822000
0.25	1955533	48426	14896767
0.26	1941588	23719	14935419
0.27	1932803	11600	14956323
0.28	1926532	5667	14968528
0.29	1921488	2766	14976472
0.3	1917046	1350	14982331
0.31	1912901	658	14987168
0.32	1908904	321	14991501
0.33	1904984	156	14995586
0.34	1901105	76	14999545
0.35000000000000003	1897250	37	15003439
0.36	1893411	18	15007297
0.37	1889584	9	15011134
0.38	1885766	4	15014956
0.39	1881957	2	15018767
0.4	1878156	1	15022569
0.41000000000000003	1874363	0	15026363
0.42	1870578	0	15030148
0.43	1866800	0	15033925
0.44	1863031	0	15037695
0.45	1859269	0	15041457
0.46	1855515	0	15045211
0.47000000000000003	1851769	0	15048957
0.48	1848031	0	15052695
0.49	1844300	0	15056426
0.5	1840577	0	15060149
0.51	1836861	0	15063865
0.52	1833153	0	15067573
0.53	1829453	0	15071273
0.54	1825761	0	15074965
0.55	1822076	0	15078650
0.56	1818399	0	15082327
0.5700000000000001	1814729	0	15085997
0.58	1811067	0	15089659
0.59	1807412	0	15093314
0.6	1803765	0	15096961
0.61	1800126	0	15100600
0.62	1796494	0	15104232
0.63	1792870	0	15107856
0.64	1789253	0	15111473
0.65	1785644	0	15115082
0.66	1782042	0	15118684
0.67	1778448	0	15122278
0.68	1774861	0	15125865
0.6900000000000001	1771281	0	15129445
0.7000000000000001	1767709	0	15133017
0.71	1764144	0	15136582
0.72	1760587	0	15140139
0.73	1757037	0	15143689
