#t 	Susceptible 	Infected 	Recovered
0 	4225316	0	0
0.01	4216873	0	8443
0.02	4208447	0	16869
0.03	4200037	0	25279
0.04	4191645	0	33671
0.05	4183267	1	42048
0.06	4174901	6	50410
0.07	4166520	29	58768
0.08	4158010	138	67168
0.09	4148842	647	75826
0.1	4136676	2935	85706
0.11	4111837	12656	100823
0.12	4036587	51686	137044
0.13	3780216	192144	252956
0.14	3068255	546241	610819
0.15	1975912	892541	1356863
0.16	1176224	811465	2237627
0.17	795277	525861	2904177
0.18	629651	294287	3301378
0.19	554578	154946	3515792
0.2	518691	79410	3627215
0.21	500816	40166	3684333
0.22	491552	20177	3713586
0.23	486492	10097	3728727
0.24	483505	5041	3736770
0.25	481547	2513	3741256
0.26	480100	1251	3743965
0.27	478908	622	3745786
0.28	477844	309	3747163
0.29	476844	154	3748318
0.3	475877	76	3749363
0.31	474927	38	3750352
0.32	473986	19	3751311
0.33	473051	9	3752256
0.34	472119	5	3753193
0.35000000000000003	471190	2	3754124
0.36	470263	1	3755052
0.37	469338	1	3755977
0.38	468415	0	3756901
0.39	467494	0	3757822
0.4	466574	0	3758742
0.41000000000000003	465656	0	3759660
0.42	464740	0	3760576
0.43	463825	0	3761491
0.44	462913	0	3762403
0.45	462001	0	3763315
0.46	461092	0	3764224
0.47000000000000003	460184	0	3765132
0.48	459278	0	3766038
0.49	458374	0	3766942
0.5	457471	0	3767845
0.51	456570	0	3768746
0.52	455671	0	3769645
0.53	454773	0	3770543
0.54	453877	0	3771439
0.55	452983	0	3772333
0.56	452091	0	3773225
0.5700000000000001	451200	0	3774116
0.58	450310	0	3775006
0.59	449423	0	3775893
0.6	448537	0	3776779
0.61	447652	0	3777664
0.62	446770	0	3778546
0.63	445889	0	3779427
0.64	445009	0	3780307
0.65	444132	0	3781184
0.66	443256	0	3782060
0.67	442381	0	3782935
0.68	441508	0	3783808
0.6900000000000001	440637	0	3784679
0.7000000000000001	439768	0	3785548
0.71	438900	0	3786416
0.72	438033	0	3787283
0.73	437169	0	3788147
0.74	436306	0	3789010
0.75	435444	0	3789872
0.76	434585	0	3790731
0.77	433727	0	3791590
0.78	432870	0	3792446
0.79	432015	0	3793301
0.8	431162	0	3794154
0.81	430310	0	3795006
0.8200000000000001	429460	0	3795856
0.8300000000000001	428611	0	3796705
0.84	427765	0	3797551
0.85	426919	0	3798397
0.86	426076	0	3799240
0.87	425234	0	3800082
0.88	424393	0	3800923
0.89	423554	0	3801762
0.9	422717	0	3802599
0.91	421881	0	3803435
0.92	421047	0	3804269
0.93	420214	0	3805102
0.9400000000000001	419383	0	3805933
0.9500000000000001	418554	0	3806762
0.96	417726	0	3807590
0.97	416900	0	3808416
0.98	416075	0	3809241
0.99	415252	0	3810064
1.0	414430	0	3810886
1.01	413610	0	3811706
1.02	412792	0	3812524
1.03	411975	0	3813341
1.04	411160	0	3814156
1.05	410346	0	3814970
1.06	409534	0	3815782
1.07	408723	0	3816593
1.08	407914	0	3817402
1.09	407106	0	3818210
1.1	406300	0	3819016
1.11	405496	0	3819820
1.12	404693	0	3820623
1.1300000000000001	403891	0	3821425
1.1400000000000001	403091	0	3822225
1.1500000000000001	402293	0	3823023
1.16	401496	0	3823820
1.17	400701	0	3824615
1.18	399907	0	3825409
1.19	399115	0	3826201
1.2	398324	0	3826992
1.21	397535	0	3827781
1.22	396747	0	3828569
1.23	395961	0	3829355
1.24	395176	0	3830140
1.25	394393	0	3830923
1.26	393611	0	3831705
1.27	392831	0	3832485
1.28	392052	0	3833264
1.29	391275	0	3834041
1.3	390499	0	3834817
1.31	389725	0	3835591
1.32	388952	0	3836364
1.33	388181	0	3837135
1.34	387411	0	3837905
1.35	386643	0	3838673
1.36	385876	0	3839440
1.37	385111	0	3840205
1.3800000000000001	384347	0	3840969
1.3900000000000001	383584	0	3841732
1.4000000000000001	382823	0	3842493
1.41	382064	0	3843252
1.42	381306	0	3844010
1.43	380549	0	3844767
1.44	379794	0	3845522
1.45	379041	0	3846275
1.46	378288	0	3847028
1.47	377538	0	3847778
1.48	376788	0	3848528
1.49	376041	0	3849275
1.5	375294	0	3850022
1.51	374549	0	3850767
1.52	373806	0	3851510
1.53	373064	0	3852252
1.54	372323	0	3852993
1.55	371584	0	3853732
1.56	370846	0	3854470
1.57	370110	0	3855206
1.58	369375	0	3855941
1.59	368642	0	3856675
1.6	367909	0	3857407
1.61	367179	0	3858137
1.62	366450	0	3858866
1.6300000000000001	365722	0	3859594
1.6400000000000001	364995	0	3860321
1.6500000000000001	364270	0	3861046
1.6600000000000001	363547	0	3861769
1.67	362825	0	3862491
1.68	362104	0	3863212
1.69	361384	0	3863932
1.7	360666	0	3864650
1.71	359950	0	3865366
1.72	359235	0	3866081
1.73	358521	0	3866795
1.74	357808	0	3867508
1.75	357097	0	3868219
1.76	356388	0	3868928
1.77	355679	0	3869637
1.78	354973	0	3870343
1.79	354267	0	3871049
1.8	353563	0	3871753
1.81	352860	0	3872456
1.82	352159	0	3873157
1.83	351459	0	3873857
1.84	350760	0	3874556
1.85	350063	0	3875253
1.86	349367	0	3875949
1.87	348672	0	3876644
1.8800000000000001	347979	0	3877337
1.8900000000000001	347287	0	3878029
1.9000000000000001	346596	0	3878720
1.9100000000000001	345907	0	3879409
1.92	345219	0	3880097
1.93	344533	0	3880783
1.94	343848	0	3881468
1.95	343164	0	3882152
1.96	342481	0	3882835
1.97	341800	0	3883516
1.98	341120	0	3884196
1.99	340442	0	3884874
2.0	339765	0	3885551
2.0100000000000002	339089	0	3886227
2.02	338414	0	3886902
2.0300000000000002	337741	0	3887575
2.04	337069	0	3888247
2.05	336399	0	3888917
2.06	335729	0	3889587
2.07	335061	0	3890255
2.08	334395	0	3890921
2.09	333729	0	3891587
2.1	333065	0	3892251
2.11	332402	0	3892914
2.12	331741	0	3893575
2.13	331081	0	3894235
2.14	330422	0	3894894
2.15	329764	0	3895552
2.16	329108	0	3896208
2.17	328453	0	3896863
2.18	327799	0	3897517
2.19	327147	0	3898169
2.2	326496	0	3898820
2.21	325846	0	3899470
2.22	325197	0	3900119
2.23	324550	0	3900766
2.24	323904	0	3901412
2.25	323259	0	3902057
2.2600000000000002	322615	0	3902701
2.27	321973	0	3903343
2.2800000000000002	321332	0	3903984
2.29	320692	0	3904624
2.3000000000000003	320054	0	3905262
2.31	319417	0	3905899
2.32	318781	0	3906535
2.33	318146	0	3907170
2.34	317512	0	3907804
2.35	316880	0	3908436
2.36	316249	0	3909067
2.37	315619	0	3909697
2.38	314991	0	3910325
2.39	314364	0	3910952
2.4	313737	0	3911579
2.41	313113	0	3912203
2.42	312489	0	3912827
