#t 	Susceptible 	Infected 	Recovered
0 	5421349	0	0
0.01	5410516	0	10833
0.02	5399705	0	21644
0.03	5388915	0	32434
0.04	5378147	0	43202
0.05	5367400	0	53949
0.06	5356673	1	64675
0.07	5345962	6	75382
0.08	5335241	28	86079
0.09	5324402	134	96813
0.1	5312952	613	107784
0.11	5298827	2676	119846
0.12	5273608	11267	136474
0.13	5203483	46124	171742
0.14	4964134	177267	279949
0.15	4234985	555811	630553
0.16	2883883	1069895	1467571
0.17	1703632	1108516	2609201
0.18	1099111	762003	3560235
0.19	835850	434027	4151473
0.2	719291	227950	4474108
0.21	665152	115429	4640768
0.22	638928	57453	4724969
0.23	625700	28355	4767295
0.24	618668	13933	4788748
0.25	614628	6830	4799891
0.26	612042	3344	4805964
0.27	610165	1635	4809549
0.28	608634	799	4811915
0.29	607275	390	4813684
0.3	605999	190	4815159
0.31	604766	93	4816490
0.32	603554	45	4817749
0.33	602355	22	4818972
0.34	601162	11	4820177
0.35000000000000003	599973	5	4821370
0.36	598788	3	4822558
0.37	597606	1	4823741
0.38	596427	1	4824922
0.39	595250	0	4826099
0.4	594075	0	4827274
0.41000000000000003	592902	0	4828447
0.42	591732	0	4829617
0.43	590564	0	4830785
0.44	589398	0	4831951
0.45	588235	0	4833114
0.46	587074	0	4834275
0.47000000000000003	585915	0	4835434
0.48	584758	0	4836591
0.49	583604	0	4837745
0.5	582451	0	4838898
0.51	581301	0	4840048
0.52	580154	0	4841195
0.53	579008	0	4842341
0.54	577865	0	4843484
0.55	576724	0	4844625
0.56	575585	0	4845764
0.5700000000000001	574448	0	4846901
0.58	573314	0	4848035
0.59	572181	0	4849168
0.6	571051	0	4850298
0.61	569924	0	4851425
0.62	568798	0	4852551
0.63	567674	0	4853675
0.64	566553	0	4854796
0.65	565434	0	4855915
0.66	564317	0	4857032
0.67	563202	0	4858147
0.68	562090	0	4859259
0.6900000000000001	560979	0	4860370
0.7000000000000001	559871	0	4861478
0.71	558765	0	4862584
0.72	557661	0	4863688
0.73	556559	0	4864790
0.74	555459	0	4865890
0.75	554362	0	4866987
0.76	553266	0	4868083
0.77	552173	0	4869176
0.78	551082	0	4870267
0.79	549993	0	4871356
0.8	548906	0	4872443
0.81	547821	0	4873528
0.8200000000000001	546739	0	4874610
0.8300000000000001	545658	0	4875691
0.84	544580	0	4876769
0.85	543503	0	4877846
0.86	542429	0	4878920
0.87	541357	0	4879992
0.88	540287	0	4881062
0.89	539219	0	4882130
0.9	538153	0	4883196
0.91	537089	0	4884260
0.92	536027	0	4885322
0.93	534968	0	4886381
0.9400000000000001	533910	0	4887439
0.9500000000000001	532854	0	4888495
0.96	531801	0	4889548
0.97	530749	0	4890600
0.98	529700	0	4891649
0.99	528653	0	4892696
1.0	527607	0	4893742
1.01	526564	0	4894785
1.02	525523	0	4895826
1.03	524484	0	4896865
1.04	523447	0	4897902
1.05	522411	0	4898938
1.06	521378	0	4899971
1.07	520347	0	4901002
1.08	519318	0	4902031
1.09	518291	0	4903058
1.1	517266	0	4904083
1.11	516243	0	4905106
1.12	515222	0	4906127
1.1300000000000001	514203	0	4907146
1.1400000000000001	513186	0	4908163
1.1500000000000001	512170	0	4909179
1.16	511157	0	4910192
1.17	510146	0	4911203
1.18	509137	0	4912212
1.19	508130	0	4913219
1.2	507125	0	4914224
1.21	506121	0	4915228
1.22	505120	0	4916229
1.23	504121	0	4917228
1.24	503123	0	4918226
1.25	502128	0	4919221
1.26	501134	0	4920215
1.27	500143	0	4921206
1.28	499153	0	4922196
1.29	498166	0	4923183
1.3	497180	0	4924169
1.31	496196	0	4925153
1.32	495214	0	4926135
1.33	494234	0	4927115
1.34	493256	0	4928093
1.35	492280	0	4929069
1.36	491306	0	4930043
1.37	490333	0	4931016
1.3800000000000001	489363	0	4931986
1.3900000000000001	488395	0	4932954
1.4000000000000001	487428	0	4933921
1.41	486463	0	4934886
1.42	485500	0	4935849
1.43	484539	0	4936810
1.44	483580	0	4937769
1.45	482623	0	4938726
1.46	481668	0	4939681
1.47	480714	0	4940635
1.48	479763	0	4941586
1.49	478813	0	4942536
1.5	477865	0	4943484
1.51	476919	0	4944430
1.52	475975	0	4945374
1.53	475033	0	4946316
1.54	474092	0	4947257
1.55	473154	0	4948195
1.56	472217	0	4949132
1.57	471282	0	4950067
1.58	470349	0	4951000
1.59	469418	0	4951931
1.6	468488	0	4952861
1.61	467561	0	4953788
1.62	466635	0	4954714
