#t 	Susceptible 	Infected 	Recovered
0 	8584926	1	0
0.01	8567766	4	17157
0.02	8550621	19	34287
0.03	8533430	82	51415
0.04	8515922	355	68650
0.05	8496951	1521	86455
0.06	8471642	6483	106803
0.07	8419554	27357	138016
0.08	8258089	112457	214381
0.09	7696852	422432	465642
0.1	6146036	1190622	1248269
0.11	3868164	1874820	2841943
0.12	2291342	1640008	4653577
0.13	1569820	1037353	5977754
0.14	1268184	572697	6744046
0.15	1137847	301211	7145868
0.16	1076308	157701	7350918
0.17	1043996	83473	7457458
0.18	1025841	44468	7514618
0.19	1015154	23688	7546085
0.2	1008487	12582	7563858
0.21	1003982	6657	7574288
0.22	1000636	3508	7580783
0.23	997908	1842	7585177
0.24	995510	963	7588454
0.25	993287	502	7591137
0.26	991159	261	7593507
0.27	989082	135	7595710
0.28	987033	70	7597824
0.29	985001	36	7599889
0.3	982980	19	7601928
0.31	980966	10	7603951
0.32	978958	5	7605964
0.33	976954	2	7607970
0.34	974955	1	7609970
0.35000000000000003	972960	1	7611966
0.36	970970	0	7613957
0.37	968983	0	7615944
0.38	967000	0	7617926
0.39	965022	0	7619905
0.4	963047	0	7621880
0.41000000000000003	961076	0	7623851
0.42	959110	0	7625817
0.43	957147	0	7627780
0.44	955188	0	7629739
0.45	953233	0	7631693
0.46	951283	0	7633644
0.47000000000000003	949336	0	7635591
0.48	947393	0	7637533
0.49	945455	0	7639472
0.5	943520	0	7641407
0.51	941589	0	7643338
0.52	939663	0	7645264
0.53	937740	0	7647187
0.54	935821	0	7649106
0.55	933907	0	7651020
0.56	931996	0	7652931
0.5700000000000001	930089	0	7654838
0.58	928186	0	7656741
0.59	926287	0	7658639
0.6	924393	0	7660534
0.61	922502	0	7662425
0.62	920615	0	7664312
0.63	918732	0	7666195
0.64	916853	0	7668074
0.65	914978	0	7669949
0.66	913107	0	7671820
0.67	911240	0	7673687
0.68	909376	0	7675550
0.6900000000000001	907517	0	7677410
0.7000000000000001	905662	0	7679265
0.71	903810	0	7681116
0.72	901963	0	7682964
0.73	900119	0	7684808
0.74	898279	0	7686648
0.75	896443	0	7688483
0.76	894611	0	7690316
0.77	892783	0	7692144
0.78	890959	0	7693968
0.79	889138	0	7695788
0.8	887322	0	7697605
0.81	885509	0	7699418
0.8200000000000001	883700	0	7701227
0.8300000000000001	881895	0	7703032
0.84	880094	0	7704833
0.85	878296	0	7706631
0.86	876502	0	7708424
0.87	874713	0	7710214
0.88	872926	0	7712000
0.89	871144	0	7713783
0.9	869366	0	7715561
0.91	867591	0	7717336
0.92	865820	0	7719107
0.93	864053	0	7720874
0.9400000000000001	862289	0	7722638
0.9500000000000001	860529	0	7724397
0.96	858773	0	7726153
0.97	857021	0	7727906
0.98	855272	0	7729654
0.99	853527	0	7731399
1.0	851786	0	7733140
1.01	850049	0	7734878
1.02	848315	0	7736612
1.03	846585	0	7738342
1.04	844858	0	7740069
1.05	843135	0	7741791
1.06	841416	0	7743511
