#t 	Susceptible 	Infected 	Recovered
0 	10538275	0	0
0.01	10517217	0	21058
0.02	10496202	0	42073
0.03	10475228	0	63047
0.04	10454297	0	83978
0.05	10433407	0	104868
0.06	10412559	0	125716
0.07	10391752	0	146523
0.08	10370985	2	167288
0.09	10350249	9	188017
0.1	10329505	46	208724
0.11	10308552	231	229492
0.12	10286447	1121	250708
0.13	10258847	5272	274156
0.14	10206641	23865	307769
0.15	10052095	101734	384446
0.16	9521437	390332	626506
0.17	7975154	1174229	1388891
0.18	5327827	2111610	3098838
0.19	3166405	2076333	5295537
0.2	2084175	1394717	7059384
0.21	1611173	787775	8139327
0.22	1399958	412627	8725690
0.23	1301150	208856	9028269
0.24	1252997	104009	9181269
0.25	1228547	51380	9258349
0.26	1215434	25276	9297565
0.27	1207808	12405	9318061
0.28	1202855	6080	9329341
0.29	1199206	2977	9336092
0.3	1196197	1456	9340622
0.31	1193503	712	9344060
0.32	1190965	348	9346962
0.33	1188505	170	9349600
0.34	1186086	83	9352106
0.35000000000000003	1183690	40	9354545
0.36	1181307	20	9356949
0.37	1178932	10	9359333
0.38	1176565	5	9361705
0.39	1174203	2	9364070
0.4	1171846	1	9366427
0.41000000000000003	1169495	1	9368780
0.42	1167148	0	9371127
0.43	1164806	0	9373469
0.44	1162469	0	9375806
0.45	1160136	0	9378139
0.46	1157808	0	9380467
0.47000000000000003	1155485	0	9382790
0.48	1153166	0	9385109
0.49	1150852	0	9387423
0.5	1148543	0	9389732
0.51	1146238	0	9392037
0.52	1143938	0	9394337
0.53	1141642	0	9396633
0.54	1139351	0	9398924
0.55	1137065	0	9401210
0.56	1134783	0	9403492
0.5700000000000001	1132506	0	9405769
0.58	1130234	0	9408041
0.59	1127966	0	9410309
0.6	1125702	0	9412573
0.61	1123443	0	9414832
0.62	1121189	0	9417086
0.63	1118939	0	9419336
0.64	1116694	0	9421581
0.65	1114453	0	9423822
0.66	1112217	0	9426058
0.67	1109985	0	9428290
0.68	1107758	0	9430517
0.6900000000000001	1105535	0	9432740
0.7000000000000001	1103317	0	9434958
0.71	1101103	0	9437172
0.72	1098893	0	9439382
0.73	1096688	0	9441587
0.74	1094488	0	9443787
0.75	1092292	0	9445983
0.76	1090100	0	9448175
0.77	1087913	0	9450362
0.78	1085730	0	9452545
0.79	1083551	0	9454724
0.8	1081377	0	9456898
0.81	1079208	0	9459067
0.8200000000000001	1077042	0	9461233
0.8300000000000001	1074881	0	9463394
0.84	1072725	0	9465550
0.85	1070572	0	9467703
0.86	1068424	0	9469851
0.87	1066281	0	9471994
0.88	1064141	0	9474134
0.89	1062006	0	9476269
0.9	1059876	0	9478399
0.91	1057749	0	9480526
0.92	1055627	0	9482648
0.93	1053509	0	9484766
0.9400000000000001	1051395	0	9486880
0.9500000000000001	1049286	0	9488989
0.96	1047181	0	9491094
0.97	1045080	0	9493195
0.98	1042983	0	9495292
0.99	1040891	0	9497384
1.0	1038803	0	9499472
1.01	1036719	0	9501556
1.02	1034639	0	9503636
1.03	1032563	0	9505712
1.04	1030492	0	9507783
1.05	1028425	0	9509850
1.06	1026362	0	9511913
1.07	1024303	0	9513972
1.08	1022248	0	9516027
1.09	1020197	0	9518078
