#t 	Susceptible 	Infected 	Recovered
0 	2921262	0	0
0.01	2915425	0	5837
0.02	2909599	0	11663
0.03	2903785	0	17477
0.04	2897983	0	23279
0.05	2892192	0	29070
0.06	2886411	1	34850
0.07	2880636	6	40621
0.08	2874842	28	46392
0.09	2868922	132	52208
0.1	2862393	602	58267
0.11	2853225	2629	65408
0.12	2833184	11038	77040
0.13	2769943	44533	106786
0.14	2555311	161621	204330
0.15	1998450	427869	494944
0.16	1245656	627680	1047925
0.17	747956	527471	1645835
0.18	518827	328564	2073871
0.19	419184	179834	2322244
0.2	373992	93056	2454215
0.21	352517	46926	2521819
0.22	341904	23372	2555986
0.23	336432	11568	2573261
0.24	333440	5707	2582115
0.25	331653	2811	2586798
0.26	330457	1382	2589422
0.27	329551	679	2591032
0.28	328786	334	2592142
0.29	328092	164	2593006
0.3	327432	80	2593749
0.31	326790	39	2594433
0.32	326157	19	2595086
0.33	325529	9	2595724
0.34	324903	5	2596354
0.35000000000000003	324279	2	2596980
0.36	323657	1	2597604
0.37	323035	1	2598226
0.38	322415	0	2598847
0.39	321796	0	2599466
0.4	321177	0	2600085
0.41000000000000003	320559	0	2600703
0.42	319943	0	2601319
0.43	319327	0	2601935
0.44	318712	0	2602550
0.45	318098	0	2603164
0.46	317485	0	2603777
0.47000000000000003	316873	0	2604389
0.48	316261	0	2605001
0.49	315651	0	2605611
0.5	315042	0	2606220
0.51	314433	0	2606829
0.52	313826	0	2607436
0.53	313219	0	2608043
0.54	312613	0	2608649
0.55	312009	0	2609253
0.56	311405	0	2609857
0.5700000000000001	310802	0	2610460
0.58	310200	0	2611062
0.59	309599	0	2611663
0.6	308999	0	2612263
0.61	308401	0	2612861
0.62	307803	0	2613459
0.63	307206	0	2614056
0.64	306610	0	2614652
0.65	306015	0	2615247
0.66	305420	0	2615842
0.67	304827	0	2616435
0.68	304235	0	2617027
0.6900000000000001	303644	0	2617618
0.7000000000000001	303054	0	2618208
0.71	302465	0	2618797
0.72	301877	0	2619385
0.73	301289	0	2619973
0.74	300703	0	2620559
0.75	300118	0	2621144
0.76	299534	0	2621728
0.77	298950	0	2622312
0.78	298368	0	2622894
0.79	297787	0	2623475
0.8	297206	0	2624056
0.81	296627	0	2624635
0.8200000000000001	296049	0	2625213
0.8300000000000001	295471	0	2625791
0.84	294895	0	2626367
0.85	294320	0	2626942
0.86	293745	0	2627517
0.87	293172	0	2628090
0.88	292600	0	2628662
0.89	292028	0	2629234
0.9	291458	0	2629804
0.91	290889	0	2630374
0.92	290320	0	2630942
0.93	289753	0	2631509
0.9400000000000001	289186	0	2632076
0.9500000000000001	288621	0	2632641
0.96	288056	0	2633206
0.97	287493	0	2633769
0.98	286930	0	2634332
0.99	286369	0	2634893
1.0	285809	0	2635453
1.01	285249	0	2636013
1.02	284691	0	2636571
1.03	284133	0	2637129
1.04	283577	0	2637685
1.05	283021	0	2638241
1.06	282466	0	2638796
1.07	281913	0	2639349
1.08	281360	0	2639902
1.09	280809	0	2640453
1.1	280258	0	2641004
1.11	279709	0	2641553
1.12	279160	0	2642102
1.1300000000000001	278612	0	2642650
1.1400000000000001	278066	0	2643196
1.1500000000000001	277520	0	2643742
1.16	276975	0	2644287
1.17	276432	0	2644830
1.18	275889	0	2645373
1.19	275347	0	2645915
1.2	274806	0	2646456
1.21	274267	0	2646995
1.22	273728	0	2647534
1.23	273190	0	2648072
1.24	272653	0	2648609
1.25	272117	0	2649145
1.26	271582	0	2649680
1.27	271048	0	2650214
1.28	270516	0	2650746
1.29	269984	0	2651278
1.3	269453	0	2651809
1.31	268923	0	2652339
1.32	268393	0	2652869
1.33	267865	0	2653397
1.34	267338	0	2653924
1.35	266812	0	2654450
1.36	266287	0	2654975
1.37	265763	0	2655499
1.3800000000000001	265239	0	2656023
1.3900000000000001	264717	0	2656545
