#t 	Susceptible 	Infected 	Recovered
0 	847008	0	0
0.01	845316	0	1692
0.02	843626	0	3382
0.03	841941	0	5067
0.04	840258	0	6750
0.05	838578	1	8429
0.06	836897	4	10107
0.07	835200	19	11789
0.08	833413	89	13506
0.09	831208	409	15392
0.1	827164	1812	18032
0.11	815713	7525	23770
0.12	777562	28357	41088
0.13	665581	86404	95023
0.14	462535	164613	219861
0.15	282966	174816	389226
0.16	187439	126401	533167
0.17	143719	76859	626430
0.18	123171	43457	680380
0.19	112833	23839	710337
0.2	107310	12883	726815
0.21	104232	6886	735891
0.22	102441	3645	740922
0.23	101336	1914	743758
0.24	100596	998	745413
0.25	100052	518	746438
0.26	99614	267	747126
0.27	99235	137	747636
0.28	98888	70	748050
0.29	98561	36	748411
0.3	98248	18	748742
0.31	97943	9	749055
0.32	97646	5	749357
0.33	97356	2	749650
0.34	97071	1	749936
0.35000000000000003	96791	1	750217
0.36	96515	0	750492
0.37	96245	0	750763
0.38	95978	0	751030
0.39	95716	0	751292
0.4	95457	0	751551
0.41000000000000003	95202	0	751806
0.42	94951	0	752057
0.43	94703	0	752305
0.44	94458	0	752550
0.45	94216	0	752792
0.46	93978	0	753030
0.47000000000000003	93742	0	753266
0.48	93509	0	753499
0.49	93278	0	753730
0.5	93050	0	753958
0.51	92825	0	754183
0.52	92601	0	754407
0.53	92380	0	754628
0.54	92161	0	754847
0.55	91944	0	755064
0.56	91729	0	755279
0.5700000000000001	91516	0	755492
0.58	91305	0	755703
0.59	91095	0	755913
0.6	90887	0	756121
0.61	90681	0	756327
0.62	90476	0	756532
0.63	90272	0	756736
0.64	90070	0	756938
0.65	89870	0	757138
0.66	89671	0	757337
0.67	89473	0	757535
0.68	89276	0	757732
0.6900000000000001	89081	0	757927
0.7000000000000001	88886	0	758122
0.71	88693	0	758315
0.72	88501	0	758507
0.73	88310	0	758698
0.74	88119	0	758889
0.75	87930	0	759078
0.76	87742	0	759266
0.77	87555	0	759453
0.78	87368	0	759640
0.79	87183	0	759825
0.8	86998	0	760010
0.81	86814	0	760194
0.8200000000000001	86631	0	760377
0.8300000000000001	86449	0	760559
0.84	86267	0	760741
0.85	86086	0	760922
0.86	85906	0	761102
0.87	85727	0	761281
0.88	85548	0	761460
0.89	85370	0	761638
0.9	85192	0	761816
0.91	85015	0	761993
0.92	84839	0	762169
0.93	84663	0	762345
0.9400000000000001	84488	0	762520
0.9500000000000001	84314	0	762694
0.96	84140	0	762868
0.97	83967	0	763041
0.98	83794	0	763214
0.99	83622	0	763386
1.0	83450	0	763558
1.01	83279	0	763729
1.02	83108	0	763900
1.03	82938	0	764070
1.04	82768	0	764240
1.05	82599	0	764409
1.06	82430	0	764578
