#t 	Susceptible 	Infected 	Recovered
0 	81174000	0	0
0.01	81011798	0	162202
0.02	80849920	0	324080
0.03	80688366	0	485634
0.04	80527134	0	646866
0.05	80366225	0	807775
0.06	80205636	1	968363
0.07	80045363	4	1128633
0.08	79885387	22	1288592
0.09	79725601	116	1448283
0.1	79565479	598	1607922
0.11	79402448	2990	1768562
0.12	79224320	14485	1935195
0.13	78975162	68003	2130835
0.14	78410018	306630	2457352
0.15	76551722	1289461	3332817
0.16	70250071	4690322	6233607
0.17	54419774	12098785	14655441
0.18	33830759	17208467	30134774
0.19	20476264	14214535	46483201
0.2	14330644	8786012	58057344
0.21	11649104	4783799	64741098
0.22	10431864	2463295	68278841
0.23	9853820	1236160	70084020
0.24	9568189	612690	70993121
0.25	9420602	301784	71451614
0.26	9339330	148156	71686514
0.27	9290208	72598	71811195
0.28	9256745	35531	71881724
0.29	9230934	17375	71925692
0.3	9208873	8490	71956637
0.31	9188659	4146	71981195
0.32	9169364	2024	72002613
0.33	9150535	987	72022478
0.34	9131952	481	72041566
0.35000000000000003	9113508	235	72060258
0.36	9095148	114	72078737
0.37	9076850	56	72097095
0.38	9058598	27	72115375
0.39	9040389	13	72133598
0.4	9022218	6	72151776
0.41000000000000003	9004084	3	72169913
0.42	8985987	2	72188011
0.43	8967927	1	72206073
0.44	8949902	0	72224098
0.45	8931913	0	72242087
0.46	8913960	0	72260040
0.47000000000000003	8896043	0	72277957
0.48	8878161	0	72295839
0.49	8860315	0	72313685
0.5	8842505	0	72331495
0.51	8824731	0	72349269
0.52	8806992	0	72367008
0.53	8789289	0	72384711
0.54	8771621	0	72402379
0.55	8753988	0	72420012
0.56	8736391	0	72437609
0.5700000000000001	8718830	0	72455170
0.58	8701304	0	72472696
0.59	8683813	0	72490187
0.6	8666357	0	72507643
0.61	8648936	0	72525064
0.62	8631551	0	72542449
0.63	8614200	0	72559800
0.64	8596885	0	72577115
0.65	8579604	0	72594396
0.66	8562358	0	72611642
0.67	8545147	0	72628853
0.68	8527971	0	72646029
0.6900000000000001	8510830	0	72663170
0.7000000000000001	8493723	0	72680277
0.71	8476651	0	72697349
0.72	8459613	0	72714387
0.73	8442610	0	72731390
0.74	8425641	0	72748359
0.75	8408707	0	72765293
0.76	8391807	0	72782193
0.77	8374941	0	72799059
0.78	8358109	0	72815891
0.79	8341311	0	72832689
0.8	8324548	0	72849452
0.81	8307818	0	72866182
0.8200000000000001	8291122	0	72882878
0.8300000000000001	8274460	0	72899540
0.84	8257832	0	72916168
0.85	8241238	0	72932762
0.86	8224677	0	72949323
0.87	8208150	0	72965850
0.88	8191656	0	72982344
0.89	8175196	0	72998804
0.9	8158769	0	73015231
0.91	8142376	0	73031624
0.92	8126016	0	73047984
0.93	8109689	0	73064311
0.9400000000000001	8093395	0	73080605
0.9500000000000001	8077134	0	73096866
0.96	8060906	0	73113094
0.97	8044711	0	73129289
0.98	8028549	0	73145451
