#t 	Susceptible 	Infected 	Recovered
0 	46439864	0	0
0.01	46347068	0	92796
0.02	46254457	0	185407
0.03	46162031	0	277833
0.04	46069789	1	370074
0.05	45977724	6	462134
0.06	45885812	29	554023
0.07	45793927	146	645791
0.08	45701486	701	737676
0.09	45605794	3293	830777
0.1	45494943	14933	929989
0.11	45319487	64586	1055790
0.12	44882364	267431	1290069
0.13	43437768	1050476	1951619
0.14	38756414	3560182	4123268
0.15	28371657	8099772	9968434
0.16	17122772	9946653	19370439
0.17	10667971	7533994	28237899
0.18	7789147	4517068	34133650
0.19	6511959	2456322	37471584
0.2	5914527	1280191	39245146
0.21	5622144	653809	40163911
0.22	5473531	330444	40635889
0.23	5394635	166061	40879168
0.24	5350056	83171	41006636
0.25	5322499	41565	41075800
0.26	5303417	20738	41115709
0.27	5288565	10334	41140965
0.28	5275832	5144	41158888
0.29	5264165	2557	41173141
0.3	5253041	1270	41185553
0.31	5242198	630	41197036
0.32	5231507	313	41208045
0.33	5220903	155	41218806
0.34	5210356	77	41229432
0.35000000000000003	5199847	38	41239979
0.36	5189370	19	41250475
0.37	5178921	9	41260934
0.38	5168497	5	41271362
0.39	5158098	2	41281764
0.4	5147722	1	41292141
0.41000000000000003	5137370	1	41302494
0.42	5127041	0	41312823
0.43	5116735	0	41323129
0.44	5106452	0	41333412
0.45	5096191	0	41343673
0.46	5085953	0	41353911
0.47000000000000003	5075738	0	41364126
0.48	5065545	0	41374319
0.49	5055374	0	41384490
0.5	5045225	0	41394639
0.51	5035099	0	41404765
0.52	5024994	0	41414870
0.53	5014912	0	41424952
0.54	5004851	0	41435013
0.55	4994811	0	41445053
0.56	4984794	0	41455070
0.5700000000000001	4974797	0	41465067
0.58	4964823	0	41475041
0.59	4954869	0	41484995
0.6	4944937	0	41494927
0.61	4935026	0	41504838
0.62	4925136	0	41514728
0.63	4915267	0	41524597
0.64	4905418	0	41534446
0.65	4895591	0	41544273
0.66	4885784	0	41554080
0.67	4875998	0	41563866
0.68	4866233	0	41573631
0.6900000000000001	4856488	0	41583376
0.7000000000000001	4846764	0	41593101
0.71	4837059	0	41602805
0.72	4827376	0	41612488
0.73	4817712	0	41622152
0.74	4808069	0	41631795
0.75	4798445	0	41641419
0.76	4788842	0	41651022
0.77	4779259	0	41660605
0.78	4769695	0	41670169
0.79	4760152	0	41679712
0.8	4750628	0	41689236
0.81	4741124	0	41698740
0.8200000000000001	4731640	0	41708224
0.8300000000000001	4722175	0	41717689
0.84	4712729	0	41727135
0.85	4703304	0	41736560
0.86	4693897	0	41745967
0.87	4684510	0	41755354
0.88	4675142	0	41764722
0.89	4665794	0	41774070
0.9	4656464	0	41783400
0.91	4647154	0	41792710
0.92	4637863	0	41802001
0.93	4628591	0	41811273
0.9400000000000001	4619338	0	41820526
0.9500000000000001	4610104	0	41829760
0.96	4600888	0	41838976
0.97	4591692	0	41848172
0.98	4582514	0	41857350
0.99	4573355	0	41866509
1.0	4564215	0	41875650
1.01	4555093	0	41884771
1.02	4545990	0	41893874
1.03	4536905	0	41902959
1.04	4527839	0	41912025
1.05	4518791	0	41921073
1.06	4509761	0	41930103
1.07	4500750	0	41939114
1.08	4491758	0	41948107
1.09	4482783	0	41957081
1.1	4473827	0	41966038
1.11	4464888	0	41974976
1.12	4455968	0	41983896
1.1300000000000001	4447066	0	41992798
1.1400000000000001	4438182	0	42001682
1.1500000000000001	4429316	0	42010548
1.16	4420468	0	42019396
1.17	4411637	0	42028227
1.18	4402825	0	42037039
1.19	4394030	0	42045834
1.2	4385253	0	42054611
1.21	4376494	0	42063370
1.22	4367752	0	42072112
1.23	4359028	0	42080836
1.24	4350322	0	42089542
1.25	4341633	0	42098231
1.26	4332962	0	42106902
1.27	4324308	0	42115556
1.28	4315672	0	42124192
1.29	4307053	0	42132811
1.3	4298451	0	42141413
1.31	4289867	0	42149997
1.32	4281299	0	42158565
1.33	4272750	0	42167115
1.34	4264217	0	42175647
1.35	4255701	0	42184163
1.36	4247203	0	42192661
1.37	4238721	0	42201143
1.3800000000000001	4230257	0	42209607
1.3900000000000001	4221810	0	42218055
1.4000000000000001	4213379	0	42226485
1.41	4204966	0	42234898
1.42	4196569	0	42243295
1.43	4188189	0	42251675
1.44	4179826	0	42260038
1.45	4171480	0	42268384
1.46	4163150	0	42276714
1.47	4154838	0	42285026
1.48	4146542	0	42293322
1.49	4138262	0	42301602
1.5	4129999	0	42309865
1.51	4121753	0	42318111
1.52	4113523	0	42326341
1.53	4105310	0	42334554
1.54	4097113	0	42342751
1.55	4088932	0	42350932
1.56	4080768	0	42359096
1.57	4072620	0	42367244
1.58	4064489	0	42375375
1.59	4056374	0	42383490
1.6	4048275	0	42391589
1.61	4040192	0	42399672
1.62	4032125	0	42407739
1.6300000000000001	4024075	0	42415789
1.6400000000000001	4016040	0	42423824
1.6500000000000001	4008022	0	42431842
1.6600000000000001	4000020	0	42439844
1.67	3992034	0	42447830
1.68	3984063	0	42455801
1.69	3976109	0	42463755
1.7	3968171	0	42471694
1.71	3960248	0	42479616
1.72	3952341	0	42487523
1.73	3944450	0	42495414
1.74	3936575	0	42503289
1.75	3928716	0	42511148
1.76	3920872	0	42518992
1.77	3913044	0	42526820
1.78	3905231	0	42534633
1.79	3897434	0	42542430
1.8	3889653	0	42550211
1.81	3881887	0	42557977
1.82	3874137	0	42565727
1.83	3866402	0	42573462
1.84	3858683	0	42581181
1.85	3850979	0	42588885
1.86	3843291	0	42596573
1.87	3835618	0	42604246
1.8800000000000001	3827960	0	42611904
1.8900000000000001	3820317	0	42619547
1.9000000000000001	3812690	0	42627174
1.9100000000000001	3805078	0	42634786
1.92	3797481	0	42642383
1.93	3789899	0	42649965
1.94	3782333	0	42657531
1.95	3774781	0	42665083
1.96	3767245	0	42672619
1.97	3759724	0	42680140
1.98	3752217	0	42687647
1.99	3744726	0	42695138
2.0	3737249	0	42702615
2.0100000000000002	3729788	0	42710076
2.02	3722341	0	42717523
2.0300000000000002	3714910	0	42724954
2.04	3707493	0	42732371
2.05	3700091	0	42739773
2.06	3692703	0	42747161
2.07	3685331	0	42754533
2.08	3677973	0	42761891
2.09	3670630	0	42769235
2.1	3663301	0	42776563
2.11	3655987	0	42783877
2.12	3648688	0	42791176
2.13	3641403	0	42798461
2.14	3634133	0	42805732
2.15	3626877	0	42812987
2.16	3619636	0	42820229
2.17	3612409	0	42827455
2.18	3605196	0	42834668
2.19	3597998	0	42841866
2.2	3590814	0	42849050
2.21	3583645	0	42856219
2.22	3576490	0	42863374
2.23	3569349	0	42870515
2.24	3562223	0	42877641
2.25	3555110	0	42884754
2.2600000000000002	3548012	0	42891852
2.27	3540928	0	42898936
2.2800000000000002	3533858	0	42906006
2.29	3526803	0	42913061
2.3000000000000003	3519761	0	42920103
2.31	3512733	0	42927131
2.32	3505720	0	42934144
2.33	3498720	0	42941144
2.34	3491734	0	42948130
2.35	3484763	0	42955101
2.36	3477805	0	42962059
2.37	3470861	0	42969003
2.38	3463931	0	42975933
2.39	3457014	0	42982850
2.4	3450112	0	42989752
2.41	3443223	0	42996641
2.42	3436348	0	43003516
2.43	3429487	0	43010377
2.44	3422639	0	43017225
2.45	3415805	0	43024059
2.46	3408985	0	43030879
2.47	3402178	0	43037686
2.48	3395385	0	43044479
2.49	3388606	0	43051258
2.5	3381840	0	43058024
2.5100000000000002	3375087	0	43064777
2.52	3368348	0	43071516
2.5300000000000002	3361622	0	43078242
2.54	3354910	0	43084954
2.5500000000000003	3348211	0	43091653
2.56	3341526	0	43098338
2.57	3334853	0	43105011
2.58	3328195	0	43111670
2.59	3321549	0	43118315
2.6	3314917	0	43124947
2.61	3308297	0	43131567
2.62	3301692	0	43138173
2.63	3295099	0	43144765
2.64	3288519	0	43151345
2.65	3281953	0	43157911
2.66	3275399	0	43164465
2.67	3268859	0	43171005
2.68	3262332	0	43177532
2.69	3255818	0	43184046
2.7	3249316	0	43190548
2.71	3242828	0	43197036
2.72	3236353	0	43203511
