#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000	-nan	-0	0.00193	2.93189e-05	0.00107	2.93189e-05	-nan	-0	-nan	-0	652	11.5137	5.68	20.452	-nan	-0	-nan	-0	985.91	3.41175	934.67	2.83862	-nan	-0
2154.4	-nan	-0	0.00348	5.40856e-05	0.00296	4e-05	-nan	-0	-nan	-0	1336.31	51.5381	-21.6	41.4408	-nan	-0	-nan	-0	2117.36	9.47937	2013.77	6.38941	-nan	-0
4641.44	-nan	-0	0.00632	7.36906e-05	0.00828	8.2975e-05	-nan	-0	-nan	-0	2865.19	82.4712	57.04	71.1362	-nan	-0	-nan	-0	4562.15	13.1558	4342.1	16.4975	-nan	-0
9999.52	-nan	-0	0.02583	0.00810841	0.02263	0.000208242	-nan	-0	-nan	-0	5940.44	313.75	-139.93	258.822	-nan	-0	-nan	-0	9767.13	62.1299	9314.88	45.3534	-nan	-0
21543	-nan	-0	0.03764	0.00366707	0.05918	0.000431904	-nan	-0	-nan	-0	11742.8	758.644	334.05	163.907	-nan	-0	-nan	-0	20929.3	117.623	20196.7	24.6605	-nan	-0
46412.2	-nan	-0	0.30554	0.198493	0.15488	0.000949564	-nan	-0	-nan	-0	25746.2	819.456	-1312.4	774.802	-nan	-0	-nan	-0	45171.3	129.717	43184.7	125.803	-nan	-0
99990.3	-nan	-0	1.13738	0.935717	0.38497	0.0019443	-nan	-0	-nan	-0	50574.4	2990.68	-540.94	1015.21	-nan	-0	-nan	-0	96531.5	464.718	93393.2	156.021	-nan	-0
215419	-nan	-0	7.20959	4.53058	0.96992	0.00501434	-nan	-0	-nan	-0	96987.1	7485.87	-5448.45	3661.01	-nan	-0	-nan	-0	205788	1274.9	200493	643.274	-nan	-0
464099	-nan	-0	4.57764	1.5705	2.4035	0.010727	-nan	-0	-nan	-0	210033	12744.9	-63098.8	24080.6	-nan	-0	-nan	-0	443457	2208.35	424032	3757.27	-nan	-0
999855	-nan	-0	171.957	99.3617	5.96508	0.0356336	-nan	-0	-nan	-0	434294	28815.4	-75861	28483.7	-nan	-0	-nan	-0	954420	4406.25	922981	4482.3	-nan	-0
