#bslen	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
1000    -nan    -0      0.00194 2.38683e-05     0.001   2.84268e-05     -nan    -0      -nan    -0      759.52  3.39055 81.81   13.1375 -nan    -0      -nan    -0      1000    0       946.79  1.52556 -nan    -0
2154.4  -nan    -0      0.00346 5.00908e-05     0.00292 5.44578e-05     -nan    -0      -nan    -0      1643.52 5.62571 214.74  20.9841 -nan    -0      -nan    -0      2154    0       2044.71 2.02326 -nan    -0
4641.44 -nan    -0      0.006   2.84268e-05     0.00829 7.95124e-05     -nan    -0      -nan    -0      3526.86 7.63232 388.53  29.1956 -nan    -0      -nan    -0      4641    0       4394.55 3.41048 -nan    -0
9999.52 -nan    -0      0.01722 4.16333e-05     0.02251 0.000198222     -nan    -0      -nan    -0      7598.28 11.8326 873.74  43.7323 -nan    -0      -nan    -0      9999    0       9477.69 5.1492  -nan    -0
21543   -nan    -0      0.02818 3.86123e-05     0.05854 0.000442997     -nan    -0      -nan    -0      16375.1 18.5526 1915.83 69.8525 -nan    -0      -nan    -0      21542   0       20427.4 7.14924 -nan    -0
46412.2 -nan    -0      0.08733 8.29445e-05     0.15357 0.000969667     -nan    -0      -nan    -0      35314   26.8978 4229.17 104.284 -nan    -0      -nan    -0      46412   0       43999.6 11.1424 -nan    -0
99990.3 -nan    -0      0.14125 0.000108595     0.3977  0.00300301      -nan    -0      -nan    -0      76041.9 37.3004 8984.68 133.706 -nan    -0      -nan    -0      99990   0       94805.9 13.9306 -nan    -0
215419  -nan    -0      0.45321 0.000184935     0.98468 0.00611337      -nan    -0      -nan    -0      163686  58.668  18800.3 219.852 -nan    -0      -nan    -0      215419  0       204195  23.5889 -nan    -0
464099  -nan    -0      0.72115 0.00019456      2.41956 0.0128281       -nan    -0      -nan    -0      352653  70.4495 40436.5 260.735 -nan    -0      -nan    -0      464099  0       439881  29.109  -nan    -0
999855  -nan    -0      1.9836  0.00233134      5.99693 0.0312457       -nan    -0      -nan    -0      759761  125.799 87355   457.21  -nan    -0      -nan    -0      999855  0       947736  47.7934 -nan    -0
