#mutrate	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
0	0.173325	6.52617e-05	0.005415	2.4667e-05	0.01989	1.82506e-05	0.0198875	2.06319e-05	5000	0	5000	0	5000	0	5000	0	1	0	1	0	1	0	1	0
0.02	0.17357	9.01836e-05	0.005675	0.00012545	0.008655	4.68554e-05	0.0087025	4.77303e-05	4054.64	26.7697	3995.47	41.5989	2320.63	45.9524	3900.98	48.3012	0.998477	0.000783828	0.999627	0.000113919	0.998911	0.000474065	0.999059	0.000350554
0.04	0.173703	0.000116486	0.0061525	0.000429852	0.009435	4.76457e-05	0.0094425	4.70081e-05	3252.88	19.8765	3112.95	41.7088	64.6675	28.0119	2755.95	31.1254	0.9992	0.000355808	0.998831	0.000318816	0.998031	0.000510601	0.998041	0.000493481
0.06	0.173888	0.000117619	0.0064425	0.000432475	0.0100525	4.90446e-05	0.0100875	4.72248e-05	2405.38	32.9937	2116.84	66.4756	-2124.13	48.1096	1192.07	55.7427	0.997778	0.00101843	0.996618	0.00105046	0.994865	0.000670096	0.995061	0.000542271
0.08	0.173548	9.69167e-05	0.0093775	0.00108938	0.01026	5.22045e-05	0.01021	4.80419e-05	1647.93	30.8165	1206.75	72.8524	-4281.76	86.4585	-751.872	99.8135	0.997971	0.000564697	0.994708	0.000876856	0.986499	0.0012113	0.98621	0.00132027
0.1	0.173437	7.13475e-05	0.01125	0.00128513	0.0105325	4.97851e-05	0.0105725	5.04303e-05	927.962	28.9364	123.177	96.242	-6154.99	63.2135	-2692.29	74.6851	0.99666	0.000842678	0.989836	0.00125948	0.977848	0.00100096	0.9776	0.00102556
0.12	0.17343	7.0268e-05	0.0144275	0.00162498	0.0106925	5.01362e-05	0.0107225	5.03246e-05	216.455	34.6763	-839.303	109.067	-8108.77	72.3918	-4996.15	85.2003	0.993836	0.00148135	0.98572	0.00143944	0.962616	0.00129561	0.962964	0.00117876
0.14	0.173425	7.80299e-05	0.0191	0.00189542	0.0107625	4.75224e-05	0.0107375	4.74565e-05	-432.325	34.6547	-1923.85	131.281	-10106.3	79.2686	-7442.94	93.8356	0.992368	0.00157966	0.978129	0.00189545	0.938367	0.00141935	0.937707	0.00153998
0.16	0.173443	6.98494e-05	0.0251975	0.00234131	0.01081	4.79897e-05	0.0107775	4.80964e-05	-1020.54	30.6805	-2992.34	147.776	-11876.5	65.31	-9669.63	77.5224	0.991147	0.00136062	0.965006	0.00279608	0.911097	0.00138581	0.910725	0.00142192
0.18	0.173445	7.11871e-05	0.0307075	0.00251596	0.0107675	5.22296e-05	0.01079	5.22885e-05	-1677.78	36.8216	-3747.32	138.078	-13981.1	91.3338	-12292.2	104.286	0.984194	0.00231639	0.955798	0.00289143	0.872246	0.00196482	0.870729	0.00205029
0.2	0.173563	8.73029e-05	0.04387	0.00311997	0.01053	4.77331e-05	0.0105175	4.91709e-05	-2133.04	29.0883	-4682.26	165.461	-15946.6	101.601	-14707.8	114.883	0.984412	0.00177641	0.943708	0.00342525	0.823281	0.00255071	0.823383	0.00247571
0.22	0.173497	6.09037e-05	0.053335	0.00326865	0.01027	5.33842e-05	0.01025	4.93695e-05	-2701.01	32.5365	-5582.38	169.148	-17749.7	109.367	-16861.5	120.956	0.977629	0.00239441	0.924257	0.00392438	0.775715	0.00295269	0.774455	0.00296143
0.24	0.173665	8.59529e-05	0.06223	0.00344302	0.0099675	5.1699e-05	0.00999	5.52937e-05	-3155.01	33.0176	-6087.96	176.62	-19340.9	106.539	-18719.9	116.433	0.971678	0.00278639	0.915748	0.00418819	0.729402	0.00288393	0.729493	0.00283921
0.26	0.173678	8.89016e-05	0.0669675	0.00343114	0.009705	5.70357e-05	0.0097125	5.608e-05	-3557.29	29.008	-6867.8	180.85	-20608.3	109.588	-20176.4	117.128	0.972235	0.00208253	0.890057	0.00499661	0.691792	0.0029417	0.691902	0.00291341
0.28	0.173655	8.07387e-05	0.0802525	0.00363361	0.0092825	5.29267e-05	0.009295	5.42198e-05	-3928.21	26.6622	-7436.62	203.601	-21673.2	108.329	-21365.4	114.417	0.966129	0.00250514	0.87322	0.00573642	0.657123	0.0028644	0.655447	0.00277753
0.3	0.173687	8.36187e-05	0.0841825	0.00359666	0.009165	5.479e-05	0.00918	5.54679e-05	-4322.29	26.7053	-7521.54	185.736	-22358.3	97.4902	-22130.1	102.55	0.954358	0.00320147	0.866263	0.00576612	0.631923	0.00279699	0.631781	0.00273969
