#mutrate	time_hb	sd_time_hb	time_heur	sd_time_heur	time_syn	sd_time_syn	time_synx	sd_time_synx	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc_synx	sd_sc_synx	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn	sc2_synx	sd_sc2_synx
0	0.173168	9.06596e-05	0.005435	2.48189e-05	0.019855	2.17628e-05	0.01988	2.15676e-05	5000	0	5000	0	5000	0	5000	0	1	0	1	0	1	0	1	0
0.02	0.17318	8.16128e-05	0.0054325	2.48022e-05	0.00867	5.14477e-05	0.00865	5.18456e-05	4412.57	0.603821	4412.57	0.603821	2710.91	2.71951	4335.44	2.76549	1	0	1	0	0.999898	7.09861e-06	0.999897	7.54354e-06
0.04	0.17301	6.24259e-05	0.005455	2.49297e-05	0.009195	4.53882e-05	0.009165	4.45747e-05	3845.12	1.11704	3845.12	1.11704	594.697	5.36344	3430.74	7.28735	1	0	1	0	0.999089	3.56771e-05	0.99911	3.30477e-05
0.06	0.17318	9.187e-05	0.00545	2.49058e-05	0.00981	4.9278e-05	0.0097625	4.98392e-05	3305.51	1.62863	3305.51	1.62863	-1347.89	8.9029	2253.74	12.788	1	0	1	0	0.996985	7.94308e-05	0.996991	7.95661e-05
0.08	0.17308	7.2437e-05	0.0054575	2.49407e-05	0.010135	4.66087e-05	0.0101425	4.70214e-05	2781.86	2.1761	2781.86	2.1761	-3192.64	13.045	841.173	18.0312	1	0	1	0	0.993035	0.00015177	0.993069	0.000153568
0.1	0.17315	7.91955e-05	0.005455	2.49297e-05	0.01044	4.90869e-05	0.01043	5.0687e-05	2282.54	2.71258	2282.54	2.71258	-4965.4	18.9565	-917.832	24.5086	1	0	1	0	0.9856	0.000260791	0.985583	0.000256218
0.12	0.173435	9.5851e-05	0.0054975	2.5031e-05	0.01062	4.90665e-05	0.0106	4.69629e-05	1797.95	2.92326	1797.95	2.92345	-6705.69	26.0283	-2863.55	35.5339	1	2.72624e-07	1	2.29975e-07	0.974739	0.000452823	0.974633	0.000454642
0.14	0.173677	0.000113924	0.0054625	2.59455e-05	0.0107325	4.93299e-05	0.0107575	5.21155e-05	1333.46	3.43417	1327.66	5.38401	-8472.52	33.9332	-5013.04	44.0391	1	2.39965e-07	0.99994	4.38419e-05	0.957683	0.000638246	0.957908	0.000619123
0.16	0.17371	8.16635e-05	0.0054875	2.50235e-05	0.0108525	5.02062e-05	0.010825	4.967e-05	899.128	3.79949	898.638	3.84348	-10128.8	45.7112	-7160.72	57.5398	0.999999	5.39991e-07	0.999987	1.21975e-05	0.937119	0.000966833	0.936958	0.000965696
0.18	0.173605	7.20097e-05	0.0063525	0.000597401	0.0108475	5.17669e-05	0.0108575	5.02424e-05	458.47	4.37255	424.348	15.3381	-12083.5	66.5053	-9645.99	79.677	0.999998	6.63069e-07	0.999569	0.000195352	0.906029	0.00141788	0.9059	0.00140653
0.2	0.17354	7.04159e-05	0.0055475	2.86603e-05	0.01079	4.93288e-05	0.01082	5.30428e-05	63.85	4.16805	-8.005	27.6091	-13630.7	71.1421	-11663.4	84.5411	0.999993	1.45449e-06	0.999049	0.000355559	0.874918	0.0018166	0.874873	0.00179422
0.22	0.173843	9.01502e-05	0.0069625	0.00072053	0.010635	5.0107e-05	0.01067	4.98393e-05	-342.267	5.00905	-516.357	43.7675	-15491.5	81.8112	-13988.7	94.3361	0.999988	2.62884e-06	0.997653	0.000591182	0.832676	0.00223912	0.832575	0.00225293
0.24	0.17343	5.81697e-05	0.008165	0.000935559	0.010375	4.69462e-05	0.0103	4.73615e-05	-718.955	5.26179	-1083.16	66.673	-17161.1	96.9067	-16033.4	110.078	0.999978	3.40894e-06	0.995013	0.000892672	0.788612	0.00257397	0.788317	0.0025724
0.26	0.173495	6.18223e-05	0.0085575	0.000934002	0.0101675	5.35563e-05	0.0101925	5.03234e-05	-1082.85	5.5595	-1850.29	96.4651	-18524.2	104.103	-17694.2	115.442	0.999958	4.52731e-06	0.988993	0.00152241	0.75126	0.00282874	0.750606	0.00283542
0.28	0.173705	8.74732e-05	0.0143675	0.00173837	0.0097725	5.57641e-05	0.0097825	5.35739e-05	-1435.54	5.46954	-2341.22	92.9299	-19908.6	110.678	-19321.8	120.201	0.999942	6.26303e-06	0.986251	0.00145781	0.711779	0.00286652	0.712177	0.00283962
0.3	0.173485	7.21106e-05	0.0196725	0.00206943	0.0095375	5.33018e-05	0.00953	5.31961e-05	-1757.2	6.37847	-3035.33	115.931	-20980.1	101.585	-20548.8	109.657	0.999885	1.20466e-05	0.979511	0.00180417	0.675559	0.00286861	0.675995	0.00286567
